type,expiry,strike,oi,change
C,2610,35000,24,0
C,2610,45000,2,0
C,2610,47500,34,0
C,2610,53000,34,0
C,2610,55000,4,0
C,2610,57000,1,0
C,2610,60000,1,0
C,2610,60500,100,0
C,2610,61000,201,0
C,2610,62000,49,0
C,2610,62500,1,1
C,2610,63000,14,9
C,2610,63500,7,4
C,2610,63875,50,0
C,2610,64000,263,11
C,2610,64250,1,1
C,2610,64375,60,60
C,2610,64500,39,14
C,2610,64625,1,1
C,2610,64750,755,754
C,2610,65000,644,221
C,2610,65250,19,18
C,2610,65375,5,5
C,2610,65500,165,33
C,2610,65750,59,3
C,2610,65875,2,0
C,2610,66000,2109,886
C,2610,66125,1,0
C,2610,66250,5,1
C,2610,66375,1,0
C,2610,66500,25,2
C,2610,66750,123,0
C,2610,66875,20,20
C,2610,67000,1467,128
C,2610,67125,28,28
C,2610,67250,5,5
C,2610,67375,74,0
C,2610,67500,390,116
C,2610,67625,85,0
C,2610,67750,1012,-1
C,2610,68000,1368,62
C,2610,68125,8,0
C,2610,68250,94,2
C,2610,68500,1184,27
C,2610,68750,124,9
C,2610,68875,85,0
C,2610,69000,3077,126
C,2610,69250,7,0
C,2610,69500,357,19
C,2610,69625,95,0
C,2610,69750,82,1
C,2610,69875,107,0
C,2610,70000,1803,-37
C,2610,70125,0,0
C,2610,70250,14,0
C,2610,70375,124,0
C,2610,70500,314,-100
C,2610,70625,20,20
C,2610,70750,4,-5
C,2610,70875,1,0
C,2610,71000,1201,48
C,2610,71250,128,0
C,2610,71375,1,0
C,2610,71500,269,-1
C,2610,72000,2046,48
C,2610,72250,86,-1
C,2610,72500,615,4
C,2610,72750,14,0
C,2610,73000,1539,4
C,2610,73250,2,-1
C,2610,73500,24,-4
C,2610,73750,3,0
C,2610,74000,563,18
C,2610,74250,15,5
C,2610,74500,72,-1
C,2610,74750,3,1
C,2610,75000,2567,233
C,2610,75250,2,0
C,2610,75500,24,12
C,2610,75750,5,0
C,2610,76000,1256,169
C,2610,76250,9,0
C,2610,76500,22,8
C,2610,77000,1478,214
C,2610,77500,112,1
C,2610,78000,721,-34
C,2610,78500,35,18
C,2610,79000,122,8
C,2610,79500,31,30
C,2610,80000,1811,73
C,2610,80500,33,17
C,2610,81000,577,54
C,2610,81500,13,10
C,2610,82000,249,55
C,2610,82500,18,8
C,2610,83000,61,2
C,2610,83500,12,3
C,2610,84000,60,2
C,2610,84500,2,0
C,2610,85000,240,0
C,2610,87500,108,-11
C,2610,90000,99,0
C,2610,92500,15,0
C,2610,95000,59,0
C,2610,97500,14,0
C,2610,100000,297,0
C,2611,44500,2,0
C,2611,50250,35,0
C,2611,56000,34,0
C,2611,57500,100,0
C,2611,58000,1,0
C,2611,60000,100,0
C,2611,60500,100,0
C,2611,61000,200,0
C,2611,63500,1,1
C,2611,64000,127,2
C,2611,64375,2,2
