type,expiry,strike,oi,change
C,2608,42750,27,0
C,2608,49000,27,0
C,2608,55000,1,0
C,2608,57000,4,0
C,2608,58000,851,0
C,2608,59000,2,0
C,2608,59500,20,0
C,2608,59750,50,0
C,2608,60000,237,0
C,2608,60500,128,0
C,2608,60750,15,0
C,2608,61000,427,0
C,2608,61250,9,0
C,2608,61500,202,0
C,2608,62000,135,-3
C,2608,62250,36,0
C,2608,62375,1,0
C,2608,62500,265,0
C,2608,62625,86,0
C,2608,62750,120,0
C,2608,62875,85,0
C,2608,63000,2976,-1
C,2608,63125,85,0
C,2608,63250,9,0
C,2608,63375,5,0
C,2608,63500,60,0
C,2608,63625,53,0
C,2608,63750,43,0
C,2608,63875,36,0
C,2608,64000,868,-14
C,2608,64125,30,0
C,2608,64250,48,0
C,2608,64375,20,0
C,2608,64500,333,-13
C,2608,64625,16,0
C,2608,64750,137,0
C,2608,64875,8,0
C,2608,65000,3365,-18
C,2608,65125,71,0
C,2608,65250,108,-11
C,2608,65375,8,0
C,2608,65500,860,0
C,2608,65625,32,0
C,2608,65750,480,0
C,2608,65875,38,0
C,2608,66000,2209,-22
C,2608,66125,11,0
C,2608,66250,24,-2
C,2608,66375,12,0
C,2608,66500,646,-8
C,2608,66625,7,0
C,2608,66750,15,-1
C,2608,66875,110,-23
C,2608,67000,2039,14
C,2608,67125,215,-35
C,2608,67250,88,-6
C,2608,67375,74,-10
C,2608,67500,747,-22
C,2608,67625,30,10
C,2608,67750,87,-220
C,2608,67875,23,14
C,2608,68000,3090,-143
C,2608,68125,483,5
C,2608,68250,417,127
C,2608,68375,33,-1
C,2608,68500,1181,-390
C,2608,68625,59,0
C,2608,68750,29,5
C,2608,68875,43,-34
C,2608,69000,3077,22
C,2608,69125,48,0
C,2608,69250,103,22
C,2608,69375,50,1
C,2608,69500,942,119
C,2608,69625,26,0
C,2608,69750,576,8
C,2608,69875,14,-2
C,2608,70000,4770,-238
C,2608,70125,17,2
C,2608,70250,65,2
C,2608,70375,34,-4
C,2608,70500,241,25
C,2608,70625,21,14
C,2608,70750,47,-1
C,2608,70875,20,5
C,2608,71000,2764,28
C,2608,71125,9,6
C,2608,71250,124,17
C,2608,71375,45,43
C,2608,71500,269,14
C,2608,71625,7,1
C,2608,71750,41,-4
C,2608,71875,46,0
C,2608,72000,1972,-356
C,2608,72125,46,25
C,2608,72250,16,1
C,2608,72375,1,0
C,2608,72500,481,24
C,2608,72625,4,0
C,2608,72750,21,14
C,2608,72875,13,0
C,2608,73000,2173,44
C,2608,73125,25,-16
C,2608,73250,725,694
C,2608,73375,57,51
C,2608,73500,1222,398
C,2608,73625,20,-1
C,2608,73750,38,-1
C,2608,73875,12,0
C,2608,74000,2240,711
C,2608,74125,36,-1
C,2608,74250,63,7
C,2608,74375,20,0
C,2608,74500,321,-8
C,2608,74625,29,-20
C,2608,74750,8,0
C,2608,74875,20,-1
C,2608,75000,1845,-22
C,2608,75125,47,0
C,2608,75250,183,0
C,2608,75375,19,0
C,2608,75500,646,0
C,2608,76000,761,0
C,2608,76500,122,0
C,2608,77000,963,-2
C,2608,77500,871,0
C,2608,78000,1615,-4
C,2608,78500,74,0
C,2608,79000,202,-1
C,2608,79500,27,0
C,2608,80000,1273,0
C,2608,80500,137,0
C,2608,81000,187,0
C,2608,81500,30,0
C,2608,82000,1032,0
C,2608,82500,68,0
C,2608,83000,262,0
C,2608,83500,72,0
C,2608,84000,151,0
C,2608,84500,53,0
C,2608,85000,915,-1
C,2608,85750,134,0
C,2608,87500,205,0
C,2608,88000,239,0
C,2608,90000,674,0
C,2608,92000,110,0
C,2608,94000,96,0
C,2608,95000,283,0
C,2608,96000,31,0
C,2608,98000,37,0
C,2608,100000,118,0
C,2609,30000,3750,0
C,2609,37000,1,0
C,2609,40000,5,0
C,2609,42000,101,0
C,2609,42500,10,0
C,2609,43000,100,0
C,2609,43500,57,0
C,2609,45000,42,0
C,2609,48000,400,0
C,2609,48500,240,0
C,2609,49000,200,0
C,2609,50000,4650,0
C,2609,50500,50,0
C,2609,51000,141,0
C,2609,51250,210,0
C,2609,52000,350,0
C,2609,53000,1100,0
C,2609,53500,400,0
C,2609,53750,150,0
C,2609,54000,1056,0
C,2609,54250,50,0
C,2609,54500,200,0
C,2609,54750,90,0
C,2609,55000,660,0
C,2609,56000,1250,0
C,2609,56500,75,0
C,2609,57000,850,0
C,2609,57500,384,0
C,2609,58000,1101,0
C,2609,59000,1096,0
C,2609,60000,786,0
C,2609,60500,750,0
C,2609,60750,120,0
C,2609,61000,221,0
C,2609,61250,22,0
C,2609,61375,0,-2
C,2609,61500,2,0
C,2609,61875,2,0
C,2609,62000,2002,0
C,2609,62250,1,0
C,2609,62500,801,0
C,2609,63000,961,0
C,2609,63250,1,0
C,2609,63500,4,0
C,2609,64000,1684,0
C,2609,64250,100,0
C,2609,64500,102,0
C,2609,64750,1,0
C,2609,65000,5234,0
C,2609,65250,2,0
C,2609,65375,1,0
C,2609,65500,160,0
C,2609,65750,2,0
C,2609,66000,1629,3
C,2609,66125,39,-1
C,2609,66250,47,0
C,2609,66500,759,-125
C,2609,66750,8,0
C,2609,66875,0,0
C,2609,67000,3143,1
C,2609,67125,1,0
C,2609,67250,2,-1
C,2609,67375,1,1
C,2609,67500,2124,0
C,2609,67625,31,31
C,2609,67750,477,0
C,2609,67875,23,0
C,2609,68000,2241,104
C,2609,68250,4,0
C,2609,68375,9,0
C,2609,68500,214,1
C,2609,68625,1,0
C,2609,68750,316,300
C,2609,68875,67,0
C,2609,69000,1512,231
C,2609,69125,1,1
C,2609,69250,107,0
C,2609,69500,633,9
C,2609,69750,482,0
C,2609,70000,2646,180
C,2609,70250,8,0
C,2609,70500,311,1
C,2609,70625,55,0
C,2609,70750,2,0
C,2609,70875,61,0
C,2609,71000,1651,3
C,2609,71125,57,41
C,2609,71250,14,0
C,2609,71500,1349,20
C,2609,71625,2,0
C,2609,71750,3,0
C,2609,72000,2373,109
C,2609,72250,10,3
C,2609,72500,1680,1
C,2609,72750,3,-1
C,2609,73000,2118,6
C,2609,73250,4,3
C,2609,73500,424,9
C,2609,73625,2,0
C,2609,73750,50,0
C,2609,73875,18,0
C,2609,74000,1009,-2
C,2609,74250,3,0
C,2609,74500,119,9
C,2609,74625,1,0
C,2609,74750,1,0
C,2609,75000,2815,20
C,2609,75125,0,0
C,2609,75250,27,0
C,2609,75500,133,-4
C,2609,76000,439,9
C,2609,76500,25,4
C,2609,77000,617,-14
C,2609,77500,964,0
C,2609,78000,1976,23
C,2609,78500,8,-1
C,2609,79000,27,6
C,2609,79500,200,0
C,2609,80000,1124,60
C,2609,80500,6,2
C,2609,81000,211,12
C,2609,81500,15,6
C,2609,82000,81,25
C,2609,82500,8,2
C,2609,83000,863,12
C,2609,83500,1,0
C,2609,84000,803,2
C,2609,84500,5,0
C,2609,85000,882,23
C,2609,87500,158,8
C,2609,90000,291,2
C,2609,92000,63,7
C,2609,94000,12,0
C,2609,95000,43,0
C,2609,96000,20,0
C,2609,98000,15,0
C,2609,100000,89,0
C,2610,35000,20,0
