type,expiry,strike,oi,change
C,2609,30000,3750,0
C,2609,37000,1,0
C,2609,40000,5,0
C,2609,42000,101,0
C,2609,42500,10,0
C,2609,43000,100,0
C,2609,43500,57,0
C,2609,45000,42,0
C,2609,48000,400,0
C,2609,48500,240,0
C,2609,49000,200,0
C,2609,50000,4650,0
C,2609,50500,50,0
C,2609,51000,141,0
C,2609,51250,210,0
C,2609,52000,350,0
C,2609,53000,1100,0
C,2609,53500,400,0
C,2609,53750,150,0
C,2609,54000,1056,0
C,2609,54250,50,0
C,2609,54500,200,0
C,2609,54750,90,0
C,2609,55000,660,0
C,2609,56000,1250,0
C,2609,56500,75,0
C,2609,57000,850,0
C,2609,57500,384,0
C,2609,58000,1101,0
C,2609,59000,1096,0
C,2609,60000,786,0
C,2609,60500,750,0
C,2609,60750,120,0
C,2609,61000,221,0
C,2609,61250,22,0
C,2609,61500,2,0
C,2609,61875,2,0
C,2609,62000,2002,0
C,2609,62250,1,0
C,2609,62500,801,0
C,2609,63000,967,0
C,2609,63250,1,0
C,2609,63500,4,0
C,2609,64000,1689,0
C,2609,64250,100,0
C,2609,64500,104,0
C,2609,64750,1,0
C,2609,64875,1,0
C,2609,65000,5388,1
C,2609,65125,2,0
C,2609,65250,3,0
C,2609,65375,1,0
C,2609,65500,192,10
C,2609,65625,5,0
C,2609,65750,9,0
C,2609,65875,1,0
C,2609,66000,1796,-4
C,2609,66125,40,-1
C,2609,66250,86,-1
C,2609,66375,1,0
C,2609,66500,2421,14
C,2609,66625,3,-1
C,2609,66750,1611,1
C,2609,66875,7,-1
C,2609,67000,2572,16
C,2609,67125,5,0
C,2609,67250,16,3
C,2609,67375,31,0
C,2609,67500,1427,30
C,2609,67625,42,0
C,2609,67750,489,1
C,2609,67875,56,20
C,2609,68000,3278,-128
C,2609,68125,86,-4
C,2609,68250,32,2
C,2609,68375,25,0
C,2609,68500,375,184
C,2609,68625,27,1
C,2609,68750,319,4
C,2609,68875,83,0
C,2609,69000,1897,-23
C,2609,69125,131,5
C,2609,69250,113,0
C,2609,69375,29,0
C,2609,69500,765,3
C,2609,69625,73,0
C,2609,69750,1463,-5
C,2609,69875,47,0
C,2609,70000,4094,127
C,2609,70125,5,2
C,2609,70250,642,-6
C,2609,70375,4,1
C,2609,70500,385,16
C,2609,70625,269,2
C,2609,70750,22,-14
C,2609,70875,61,-1
C,2609,71000,1912,28
C,2609,71125,58,0
C,2609,71250,86,8
C,2609,71375,11,0
C,2609,71500,630,76
C,2609,71625,4,0
C,2609,71750,20,0
C,2609,71875,3,0
C,2609,72000,2464,13
C,2609,72125,78,-1
C,2609,72250,40,0
C,2609,72375,10,0
C,2609,72500,1746,-107
C,2609,72625,5,1
C,2609,72750,303,101
C,2609,72875,34,0
C,2609,73000,1664,16
C,2609,73125,5,0
C,2609,73250,14,0
C,2609,73375,3,1
C,2609,73500,524,15
C,2609,73625,5,0
C,2609,73750,53,0
C,2609,73875,25,7
C,2609,74000,1392,26
C,2609,74125,6,0
C,2609,74250,6,1
C,2609,74375,1,0
C,2609,74500,168,-5
C,2609,74625,57,1
C,2609,74750,68,0
C,2609,74875,1,1
C,2609,75000,3305,-5
C,2609,75125,1,0
C,2609,75250,45,1
C,2609,75375,6,0
C,2609,75500,250,1
C,2609,76000,663,-16
C,2609,76500,97,-5
C,2609,77000,920,25
C,2609,77500,978,0
C,2609,78000,2461,-9
C,2609,78500,87,0
C,2609,79000,252,-29
C,2609,79500,234,1
C,2609,80000,1827,0
C,2609,80500,18,0
C,2609,81000,395,-1
C,2609,81500,43,0
C,2609,82000,340,-1
C,2609,82500,133,0
C,2609,83000,546,0
C,2609,83500,49,0
C,2609,84000,1219,0
C,2609,84500,52,0
C,2609,85000,903,0
C,2609,87500,345,0
C,2609,90000,666,0
C,2609,92000,57,0
C,2609,94000,17,0
C,2609,95000,43,0
C,2609,96000,20,0
C,2609,98000,15,0
C,2609,100000,89,0
C,2610,35000,24,0
C,2610,45000,2,0
C,2610,47500,34,0
C,2610,53000,34,0
C,2610,55000,4,0
C,2610,57000,1,0
C,2610,60000,1,0
C,2610,60500,100,0
C,2610,61000,201,0
C,2610,62000,49,0
C,2610,63000,4,0
C,2610,63500,0,0
C,2610,63875,50,0
C,2610,64000,31,0
C,2610,65000,145,0
C,2610,65250,1,0
C,2610,65500,121,-60
C,2610,65750,54,0
C,2610,65875,1,0
C,2610,66000,470,8
C,2610,66250,4,0
C,2610,66375,1,0
C,2610,66500,3,-3
C,2610,66750,124,5
C,2610,66875,12,0
C,2610,67000,509,4
C,2610,67500,123,-23
C,2610,67750,1,0
C,2610,67875,0,0
C,2610,68000,598,1
C,2610,68125,14,-5
C,2610,68250,2,0
C,2610,68375,0,-1
C,2610,68500,1116,0
C,2610,68750,103,1
C,2610,68875,0,0
C,2610,69000,2863,6
C,2610,69250,1,0
C,2610,69500,177,171
C,2610,69750,2,0
C,2610,69875,88,0
C,2610,70000,1210,166
C,2610,70250,12,0
C,2610,70375,117,2
C,2610,70500,102,1
C,2610,70750,3,1
C,2610,71000,137,3
C,2610,71250,103,0
C,2610,71500,256,0
C,2610,72000,1807,27
C,2610,72250,86,0
C,2610,72500,175,0
C,2610,72750,10,0
C,2610,73000,1489,69
