type,expiry,strike,oi
C,2610,79000,4
C,2610,80000,456
C,2610,81000,400
C,2610,82000,2
C,2610,83000,4
C,2610,83500,5
C,2610,84000,1
C,2610,85000,100
C,2610,87500,1
C,2610,90000,9
C,2610,95000,6
C,2610,100000,25
P,2608,20000,2163
P,2608,22000,327
P,2608,24000,310
P,2608,25000,5274
P,2608,26000,129
P,2608,27000,178
P,2608,28000,244
P,2608,29000,229
P,2608,30000,5923
P,2608,31000,306
P,2608,32000,247
P,2608,33000,143
P,2608,34000,93
P,2608,35000,2140
P,2608,36000,223
P,2608,37000,159
P,2608,37250,1
P,2608,37500,50
P,2608,37750,1
P,2608,38000,1584
P,2608,38250,3
P,2608,38500,81
P,2608,38750,2
P,2608,39000,234
P,2608,39250,3
P,2608,39500,20
P,2608,39750,34
P,2608,40000,878
P,2608,40250,7
P,2608,40500,35
P,2608,40750,13
P,2608,41000,161
P,2608,41250,25
P,2608,41500,13
P,2608,41750,20
P,2608,42000,475
P,2608,42250,1
P,2608,42500,137
P,2608,42750,36
P,2608,43000,167
P,2608,43250,9
P,2608,43500,10
P,2608,43750,47
P,2608,44000,233
P,2608,44250,5
P,2608,44500,112
P,2608,44750,53
P,2608,45000,1058
P,2608,45250,128
P,2608,45500,158
P,2608,45750,30
P,2608,46000,376
P,2608,46250,17
P,2608,46500,280
P,2608,46750,56
P,2608,47000,432
P,2608,47250,66
P,2608,47500,313
P,2608,47750,85
P,2608,48000,770
P,2608,48250,123
P,2608,48500,339
P,2608,48750,162
P,2608,49000,1391
P,2608,49250,141
P,2608,49500,609
P,2608,49750,53
P,2608,50000,3163
P,2608,50250,180
P,2608,50500,264
P,2608,50750,808
P,2608,51000,652
P,2608,51250,53
P,2608,51500,262
P,2608,51750,43
P,2608,52000,977
P,2608,52250,85
P,2608,52500,508
P,2608,52750,5
P,2608,53000,1461
P,2608,53250,56
P,2608,53500,394
P,2608,53750,57
P,2608,54000,579
P,2608,54250,183
P,2608,54500,655
P,2608,54750,74
P,2608,55000,2167
P,2608,55250,95
P,2608,55500,353
P,2608,55750,1105
P,2608,56000,1053
P,2608,56250,47
P,2608,56500,56
P,2608,56750,34
P,2608,56875,8
P,2608,57000,991
P,2608,57125,1
P,2608,57250,362
P,2608,57375,26
P,2608,57500,658
P,2608,57625,3
P,2608,57750,14
P,2608,57875,1
P,2608,58000,1976
P,2608,58125,6
P,2608,58250,27
P,2608,58375,13
P,2608,58500,285
P,2608,58625,11
P,2608,58750,72
P,2608,58875,14
P,2608,59000,1795
P,2608,59125,36
P,2608,59250,80
P,2608,59375,12
P,2608,59500,1120
P,2608,59625,24
P,2608,59750,15
P,2608,59875,58
P,2608,60000,3797
P,2608,60125,102
P,2608,60250,46
P,2608,60375,22
P,2608,60500,145
P,2608,60625,367
P,2608,60750,37
P,2608,60875,3
P,2608,61000,1799
P,2608,61125,27
P,2608,61250,3
P,2608,61375,22
P,2608,61500,275
P,2608,61625,39
P,2608,61750,70
P,2608,61875,11
P,2608,62000,2912
P,2608,62125,126
P,2608,62250,125
P,2608,62375,27
P,2608,62500,1305
P,2608,62625,34
P,2608,62750,333
P,2608,62875,52
P,2608,63000,2804
P,2608,63125,81
P,2608,63250,143
P,2608,63375,90
P,2608,63500,729
P,2608,63625,10
P,2608,63750,9
P,2608,63875,50
P,2608,64000,2656
P,2608,64125,53
P,2608,64250,48
P,2608,64375,20
P,2608,64500,733
P,2608,64625,20
P,2608,64750,34
P,2608,64875,6
P,2608,65000,9368
P,2608,65125,7
P,2608,65250,101
P,2608,65375,8
P,2608,65500,988
P,2608,65625,63
P,2608,65750,103
P,2608,66000,1879
P,2608,66125,110
P,2608,66250,19
P,2608,66375,5
P,2608,66500,727
P,2608,66625,15
P,2608,66750,2
P,2608,66875,82
P,2608,67000,1644
P,2608,67125,1
P,2608,67250,77
P,2608,67375,1
P,2608,67500,283
P,2608,67625,1
P,2608,67750,7
P,2608,68000,2551
P,2608,68125,3
P,2608,68250,191
P,2608,68375,33
P,2608,68500,222
P,2608,68625,2
P,2608,68750,9
P,2608,68875,6
P,2608,69000,1727
P,2608,69125,10
P,2608,69250,32
P,2608,69500,602
P,2608,69750,2
P,2608,70000,6125
P,2608,70125,1
P,2608,70250,5
P,2608,70375,1
P,2608,70500,5
P,2608,71000,186
P,2608,72000,201
P,2608,72250,1
P,2608,73000,13
P,2608,73750,4
P,2608,74000,10
P,2608,75000,61
P,2608,77500,5
P,2609,20000,910
P,2609,21000,25
P,2609,22000,13
P,2609,23000,11
P,2609,24000,5
P,2609,25000,4674
P,2609,26000,118
P,2609,27000,2
P,2609,27500,15
P,2609,28000,21
P,2609,28750,65
P,2609,29000,20
P,2609,30000,4303
P,2609,30500,86
P,2609,31000,4
P,2609,31500,15
P,2609,32000,37
P,2609,33000,130
P,2609,34000,14
P,2609,34750,69
P,2609,35000,1090
P,2609,35250,0
P,2609,35750,50
P,2609,36000,12
P,2609,36750,60
P,2609,37000,503
P,2609,37500,2
P,2609,37750,1
P,2609,38000,734
P,2609,38500,226
P,2609,39000,57
P,2609,39250,165
P,2609,39500,350
P,2609,40000,2958
P,2609,40250,1
P,2609,40500,176
P,2609,40750,42
P,2609,41000,816
P,2609,41250,1
P,2609,41500,26
P,2609,42000,1943
P,2609,42250,20
P,2609,42500,50
P,2609,42750,16
P,2609,43000,999
P,2609,43250,66
P,2609,43500,582
P,2609,43750,9
P,2609,44000,1453
P,2609,44250,27
P,2609,44500,126
P,2609,44750,8
P,2609,45000,2278
P,2609,45500,1
P,2609,45750,33
P,2609,46000,2152
P,2609,46250,26
P,2609,46500,340
P,2609,46750,24
P,2609,47000,620
P,2609,47250,19
P,2609,47500,1015
P,2609,47750,15
P,2609,48000,3392
P,2609,48250,25
P,2609,48500,654
P,2609,48750,25
P,2609,49000,1369
P,2609,49250,93
P,2609,49500,114
P,2609,49750,119
P,2609,50000,9301
P,2609,50250,39
P,2609,50500,1135
P,2609,50750,146
P,2609,51000,1030
P,2609,51250,210
P,2609,51500,241
P,2609,51750,41
P,2609,52000,1227
P,2609,52250,61
P,2609,52500,305
P,2609,52750,25
P,2609,53000,1550
P,2609,53250,15
P,2609,53500,1213
P,2609,53750,75
P,2609,54000,2584
P,2609,54250,2
P,2609,54500,407
P,2609,54750,220
P,2609,55000,4355
P,2609,55250,8
P,2609,55500,600
P,2609,56000,1715
P,2609,56250,24
P,2609,56500,183
P,2609,56750,24
P,2609,57000,2838
P,2609,57250,24
P,2609,57500,387
P,2609,57750,142
P,2609,58000,2209
P,2609,58250,166
P,2609,58500,918
P,2609,58750,20
P,2609,59000,1777
P,2609,59250,41
P,2609,59500,245
P,2609,59750,22
P,2609,60000,3544
P,2609,60250,15
P,2609,60500,321
P,2609,60750,128
P,2609,61000,924
P,2609,61250,2
P,2609,61500,15
P,2609,61750,6
P,2609,62000,2481
P,2609,62250,22
P,2609,62375,3
P,2609,62500,686
P,2609,62750,6
P,2609,63000,3164
P,2609,63125,5
P,2609,63250,1
P,2609,63500,319
P,2609,63750,0
P,2609,64000,2192
P,2609,64125,0
P,2609,64250,15
P,2609,64375,22
P,2609,64500,340
P,2609,65000,3254
P,2609,65250,80
P,2609,65375,19
P,2609,65500,277
P,2609,65625,15
P,2609,65750,2
P,2609,66000,1763
P,2609,66125,6
P,2609,66250,10
P,2609,66500,1509
P,2609,66625,15
P,2609,66750,9
P,2609,67000,1139
P,2609,67250,8
P,2609,67500,300
P,2609,67750,172
P,2609,68000,756
P,2609,68250,8
P,2609,68500,33
P,2609,68750,18
P,2609,69000,1146
P,2609,69500,6
P,2609,70000,1475
P,2609,71000,100
P,2609,73000,18
P,2609,75000,2
P,2610,25000,19
P,2610,30000,3
P,2610,35000,1
P,2610,36000,1
P,2610,38000,2
P,2610,39000,1
P,2610,40000,102
P,2610,41000,1
P,2610,42000,100
P,2610,42750,1
P,2610,43000,24
P,2610,43750,9
P,2610,45000,221
P,2610,45500,202
P,2610,46000,150
P,2610,46500,63
P,2610,46750,59
P,2610,47000,78
P,2610,47750,28
P,2610,48000,500
P,2610,48250,3
P,2610,48500,1
P,2610,48750,1
P,2610,49000,6
P,2610,49250,1
P,2610,49500,1
P,2610,49750,1
P,2610,50000,307
P,2610,50250,1
P,2610,50500,4
P,2610,50750,1
P,2610,51000,1
P,2610,51250,1
P,2610,51500,176
P,2610,51750,1
P,2610,52000,53
P,2610,52250,1
P,2610,52500,252
P,2610,52750,1
P,2610,53000,8
P,2610,53250,1
P,2610,53500,1
P,2610,54000,107
P,2610,54250,7
P,2610,54750,6
P,2610,55000,607
P,2610,55250,31
P,2610,55750,1
P,2610,56000,250
