type,expiry,strike,oi,change
C,2609,30000,3750,0
C,2609,37000,1,0
C,2609,40000,5,0
C,2609,42000,101,0
C,2609,42500,10,0
C,2609,43000,100,0
C,2609,43500,57,0
C,2609,45000,42,0
C,2609,48000,400,0
C,2609,48500,240,0
C,2609,49000,200,0
C,2609,50000,4650,0
C,2609,50500,50,0
C,2609,51000,141,0
C,2609,51250,210,0
C,2609,52000,350,0
C,2609,53000,1100,0
C,2609,53500,400,0
C,2609,53750,150,0
C,2609,54000,1056,0
C,2609,54250,50,0
C,2609,54500,200,0
C,2609,54750,90,0
C,2609,55000,660,0
C,2609,56000,1250,0
C,2609,56500,75,0
C,2609,57000,850,0
C,2609,57500,384,0
C,2609,58000,1101,0
C,2609,59000,1096,0
C,2609,60000,786,0
C,2609,60500,750,0
C,2609,60750,120,0
C,2609,61000,221,0
C,2609,61250,22,0
C,2609,61500,2,0
C,2609,61875,2,0
C,2609,62000,2002,0
C,2609,62250,1,0
C,2609,62500,801,0
C,2609,63000,962,0
C,2609,63250,1,0
C,2609,63500,4,0
C,2609,64000,1685,0
C,2609,64250,100,0
C,2609,64500,102,0
C,2609,64750,1,0
C,2609,65000,5254,0
C,2609,65250,2,0
C,2609,65375,1,0
C,2609,65500,158,0
C,2609,65750,2,0
C,2609,66000,1625,0
C,2609,66125,39,0
C,2609,66250,37,0
C,2609,66500,759,0
C,2609,66750,8,0
C,2609,67000,3118,4
C,2609,67125,1,0
C,2609,67250,2,0
C,2609,67375,1,0
C,2609,67500,2125,2
C,2609,67625,31,0
C,2609,67750,479,2
C,2609,67875,23,0
C,2609,68000,2053,-182
C,2609,68250,20,0
C,2609,68375,5,0
C,2609,68500,117,-98
C,2609,68625,1,0
C,2609,68750,306,-2
C,2609,68875,68,0
C,2609,69000,1627,23
C,2609,69125,52,0
C,2609,69250,115,0
C,2609,69500,713,34
C,2609,69625,0,0
C,2609,69750,1415,0
C,2609,69875,44,0
C,2609,70000,3523,299
C,2609,70250,626,-3
C,2609,70500,324,0
C,2609,70625,55,0
C,2609,70750,31,0
C,2609,70875,61,0
C,2609,71000,1876,3
C,2609,71125,57,0
C,2609,71250,41,27
C,2609,71375,10,10
C,2609,71500,1361,6
C,2609,71625,2,0
C,2609,71750,3,0
C,2609,72000,2683,72
C,2609,72125,78,-1
C,2609,72250,37,3
C,2609,72375,10,0
C,2609,72500,2164,4
C,2609,72750,5,1
C,2609,72875,34,0
C,2609,73000,2405,64
C,2609,73125,5,0
C,2609,73250,17,1
C,2609,73375,2,0
C,2609,73500,453,12
C,2609,73625,5,0
C,2609,73750,52,1
C,2609,73875,18,0
C,2609,74000,985,11
C,2609,74125,3,1
C,2609,74250,10,4
C,2609,74500,168,14
C,2609,74625,47,0
C,2609,74750,63,0
C,2609,74875,3,0
C,2609,75000,3128,-28
C,2609,75250,32,0
C,2609,75375,1,0
C,2609,75500,155,-3
C,2609,76000,517,26
C,2609,76500,53,-5
C,2609,77000,721,25
C,2609,77500,983,2
C,2609,78000,2213,60
C,2609,78500,32,3
C,2609,79000,199,45
C,2609,79500,216,-3
C,2609,80000,1636,26
C,2609,80500,32,2
C,2609,81000,385,105
C,2609,81500,58,3
C,2609,82000,258,10
C,2609,82500,27,9
C,2609,83000,479,-526
C,2609,83500,10,3
C,2609,84000,981,75
C,2609,84500,31,5
C,2609,85000,1496,-21
C,2609,87500,732,-33
C,2609,90000,546,77
C,2609,92000,56,0
C,2609,94000,17,0
C,2609,95000,43,0
C,2609,96000,20,0
C,2609,98000,15,0
C,2609,100000,89,0
C,2610,35000,20,0
C,2610,45000,2,0
C,2610,47500,34,0
C,2610,53000,34,0
C,2610,55000,4,0
C,2610,57000,1,0
C,2610,58000,1,0
C,2610,60000,1,0
C,2610,60500,100,0
C,2610,61000,201,0
C,2610,62000,29,0
C,2610,63000,4,0
C,2610,63875,50,0
C,2610,64000,31,0
C,2610,65000,100,0
C,2610,65250,1,0
C,2610,65500,60,0
C,2610,66000,301,0
C,2610,66250,4,0
C,2610,66750,0,0
C,2610,67000,380,0
C,2610,67250,0,0
C,2610,67500,106,26
C,2610,67750,1,0
C,2610,68000,283,0
C,2610,68125,13,0
C,2610,68250,2,0
C,2610,68375,3,2
C,2610,68500,201,200
C,2610,69000,337,0
C,2610,69250,0,0
C,2610,69500,2,0
C,2610,69750,1,0
C,2610,70000,735,-4
C,2610,70375,0,0
C,2610,70500,100,0
C,2610,70750,1,0
C,2610,70875,0,0
C,2610,71000,115,99
C,2610,71250,0,0
C,2610,71375,0,0
C,2610,71500,3,0
C,2610,71750,0,0
C,2610,72000,224,16
C,2610,72250,6,0
C,2610,72500,1,0
C,2610,72750,7,1
C,2610,73000,876,253
C,2610,73250,1,1
C,2610,73500,6,4
C,2610,74000,400,0
C,2610,74500,55,0
C,2610,75000,1488,-11
C,2610,75500,1,-1
C,2610,75750,0,0
C,2610,76000,301,0
C,2610,77000,1099,0
C,2610,77500,101,0
C,2610,78000,247,-56
C,2610,78500,3,0
C,2610,79000,5,-1
C,2610,79500,4,1
C,2610,80000,1776,7
C,2610,80500,1,-2
C,2610,81000,402,0
C,2610,81500,1,0
C,2610,82000,5,0
C,2610,83000,5,0
C,2610,83500,8,0
C,2610,84000,9,0
