product,participant,net,net_prev,change
TOPIX先物,みずほ証券,3537,3716,-179
TOPIX先物,インタラクティブ証券,0,72,-72
TOPIX先物,ゴールドマン証券,-601,1306,-1907
TOPIX先物,サスケハナ・ホンコン,0,3,-3
TOPIX先物,シティグループ証券,12882,10760,2122
TOPIX先物,ソシエテＧ証券,14451,12388,2063
TOPIX先物,ドイツ証券,-146,507,-653
TOPIX先物,バークレイズ証券,-15020,-16560,1540
TOPIX先物,ビーオブエー証券,10762,9798,964
TOPIX先物,フィリップ証券,33,39,-6
TOPIX先物,モルガンＭＵＦＧ証券,19213,20224,-1011
TOPIX先物,三田証券,0,-14,14
TOPIX先物,三菱ＵＦＪ証券,-5403,-4822,-581
TOPIX先物,三菱ＵＦＪｅスマート,142,145,-3
TOPIX先物,光世証券,0,-23,23
TOPIX先物,大和証券,-2766,-2496,-270
TOPIX先物,岡三証券,-193,-189,-4
TOPIX先物,広田証券,-48,-16,-32
TOPIX先物,日産証券,1107,1230,-123
TOPIX先物,東海東京証券,-33,-33,0
TOPIX先物,松井証券,245,254,-9
TOPIX先物,野村証券,-18324,-18305,-19
TOPIX先物,ＡＢＮクリアリン証券,-1463,-1279,-184
TOPIX先物,ＢＮＰパリバ証券,-22690,-21849,-841
TOPIX先物,ＨＳＢＣ証券,-19288,-18842,-446
TOPIX先物,ＪＰモルガン証券,34717,36246,-1529
TOPIX先物,ＳＢＩ証券,-8780,-7788,-992
TOPIX先物,ＳＭＢＣ日興証券,-1068,-3384,2316
TOPIX先物,ＵＢＳ証券,-1180,-1069,-111
日経225mini,インタラクティブ証券,21,19,2
日経225mini,ゴールドマン証券,4500,4550,-50
日経225mini,ソシエテＧ証券,1268,-209,1477
日経225mini,ドイツ証券,2,0,2
日経225mini,バークレイズ証券,-961,-1006,45
日経225mini,ビーオブエー証券,-922,-250,-672
日経225mini,フィリップ証券,-20,-46,26
日経225mini,マネックス証券,78,147,-69
日経225mini,モルガンＭＵＦＧ証券,14559,14500,59
日経225mini,三菱ＵＦＪ証券,4000,0,4000
日経225mini,三菱ＵＦＪｅスマート,158,213,-55
日経225mini,共和証券,-1,-1,0
日経225mini,岩井コスモ証券,0,2,-2
日経225mini,広田証券,5,5,0
日経225mini,日産証券,130,120,10
日経225mini,松井証券,193,151,42
日経225mini,楽天証券,252,433,-181
日経225mini,立花証券,-1,-1,0
日経225mini,豊証券,9,7,2
日経225mini,野村証券,0,9,-9
日経225mini,ＡＢＮクリアリン証券,-23294,-20939,-2355
日経225mini,ＢＮＰパリバ証券,-1700,-4199,2499
日経225mini,ＪＰモルガン証券,-2881,461,-3342
日経225mini,ＳＢＩ証券,604,1034,-430
日経225mini,ＵＢＳ証券,4000,5000,-1000
日経225先物,みずほ証券,-8160,-9014,854
日経225先物,インタラクティブ証券,-991,-337,-654
日経225先物,ゴールドマン証券,-9168,-10131,963
日経225先物,サスケハナ・ホンコン,518,691,-173
日経225先物,シティグループ証券,2905,3700,-795
日経225先物,ソシエテＧ証券,7258,7329,-71
日経225先物,ドイツ証券,2210,1874,336
日経225先物,ナティクシス証券,-856,-856,0
日経225先物,バークレイズ証券,12311,11680,631
日経225先物,ビーオブエー証券,-779,747,-1526
日経225先物,フィリップ証券,-384,-73,-311
日経225先物,モルガンＭＵＦＧ証券,-16155,-15769,-386
日経225先物,三菱ＵＦＪ証券,-9022,-8251,-771
日経225先物,三菱ＵＦＪｅスマート,153,0,153
日経225先物,光世証券,-25,-14,-11
日経225先物,大和証券,1607,1860,-253
日経225先物,岩井コスモ証券,-46,-40,-6
日経225先物,広田証券,0,-9,9
日経225先物,日産証券,2279,2553,-274
日経225先物,東海東京証券,-138,-96,-42
日経225先物,楽天証券,345,492,-147
日経225先物,立花証券,-108,-108,0
日経225先物,証券ジャパン,0,-1,1
日経225先物,野村証券,32295,31032,1263
日経225先物,ＡＢＮクリアリン証券,6194,7432,-1238
日経225先物,ＢＮＰパリバ証券,0,1533,-1533
日経225先物,ＨＳＢＣ証券,-33913,-34418,505
日経225先物,ＪＩＡ証券,101,0,101
日経225先物,ＪＰモルガン証券,3508,-1340,4848
日経225先物,ＳＢＩ証券,-404,317,-721
日経225先物,ＳＭＢＣ日興証券,4785,4650,135
日経225先物,ＵＢＳ証券,3498,3999,-501
