product,participant,net,net_prev,change
TOPIX先物,みずほ証券,6465,828,5637
TOPIX先物,インタラクティブ証券,-39,-149,110
TOPIX先物,ゴールドマン証券,-30529,-28663,-1866
TOPIX先物,サスケハナ・ホンコン,-238,-67,-171
TOPIX先物,シティグループ証券,30312,26147,4165
TOPIX先物,ソシエテＧ証券,11162,9558,1604
TOPIX先物,ドイツ証券,679,727,-48
TOPIX先物,バークレイズ証券,971,-3159,4130
TOPIX先物,ビーオブエー証券,18676,19556,-880
TOPIX先物,フィリップ・キャ証券,28,30,-2
TOPIX先物,モルガンＭＵＦＧ証券,17301,18847,-1546
TOPIX先物,三菱ＵＦＪ証券,-1397,-6060,4663
TOPIX先物,三菱ＵＦＪｅスマート,142,137,5
TOPIX先物,大和証券,-4985,-3332,-1653
TOPIX先物,安藤証券,4,0,4
TOPIX先物,岡三証券,-38,-160,122
TOPIX先物,広田証券,16,0,16
TOPIX先物,日産証券,923,732,191
TOPIX先物,松井証券,22,106,-84
TOPIX先物,立花証券,-1240,-1240,0
TOPIX先物,豊証券,-14,0,-14
TOPIX先物,野村証券,-11816,-11939,123
TOPIX先物,ＡＢＮクリアリン証券,-749,-1481,732
TOPIX先物,ＢＮＰパリバ証券,-23432,-22535,-897
TOPIX先物,ＨＳＢＣ証券,-11464,-17408,5944
TOPIX先物,ＪＰモルガン証券,16225,31975,-15750
TOPIX先物,ＳＢＩ証券,-5742,-6595,853
TOPIX先物,ＳＭＢＣ日興証券,-4773,-4845,72
TOPIX先物,ＵＢＳ証券,-6433,-966,-5467
日経225mini,みずほ証券,4148,4443,-295
日経225mini,むさし証券,-3,-3,0
日経225mini,インタラクティブ証券,0,2253,-2253
日経225mini,ゴールドマン証券,-1222,-2022,800
日経225mini,サスケハナ・ホンコン,0,2446,-2446
日経225mini,シティグループ証券,7890,4842,3048
日経225mini,ソシエテＧ証券,-29858,-32238,2380
日経225mini,バークレイズ証券,-70936,-70696,-240
日経225mini,ビーオブエー証券,24303,25564,-1261
日経225mini,フィリップ・キャ証券,2040,0,2040
日経225mini,モルガンＭＵＦＧ証券,12705,10961,1744
日経225mini,三晃証券,-5,-4,-1
日経225mini,三田証券,0,-4,4
日経225mini,三菱ＵＦＪ証券,2799,3462,-663
日経225mini,共和証券,0,-6,6
日経225mini,内藤証券,0,-1,1
日経225mini,大和証券,2477,0,2477
