type,expiry,strike,oi,change
C,2608,42750,27,0
C,2608,49000,27,0
C,2608,55000,1,0
C,2608,56000,1,0
C,2608,57000,4,0
C,2608,58000,850,0
C,2608,59500,20,0
C,2608,59750,50,0
C,2608,60000,228,0
C,2608,60500,120,0
C,2608,61000,403,0
C,2608,61500,200,0
C,2608,62000,104,0
C,2608,62500,16,0
C,2608,63000,2131,0
C,2608,63375,5,0
C,2608,63500,12,1
C,2608,63625,5,0
C,2608,63750,9,0
C,2608,63875,10,0
C,2608,64000,611,0
C,2608,64125,30,0
C,2608,64250,20,0
C,2608,64375,20,0
C,2608,64500,14,0
C,2608,64625,15,0
C,2608,64750,119,81
C,2608,64875,15,0
C,2608,65000,1128,20
C,2608,65125,78,0
C,2608,65250,120,0
C,2608,65375,22,2
C,2608,65500,224,-15
C,2608,65625,10,0
C,2608,65750,456,1
C,2608,66000,278,23
C,2608,66250,2,0
C,2608,66375,2,0
C,2608,66500,88,4
C,2608,66625,0,-1
C,2608,66750,2,1
C,2608,66875,121,0
C,2608,67000,958,23
C,2608,67125,208,0
C,2608,67250,79,0
C,2608,67375,76,0
C,2608,67500,239,-4
C,2608,67625,18,0
C,2608,67750,235,-1
C,2608,67875,1,0
C,2608,68000,1582,-15
C,2608,68125,456,0
C,2608,68250,270,11
C,2608,68375,8,8
C,2608,68500,602,2
C,2608,68625,20,0
C,2608,68750,100,0
C,2608,68875,75,0
C,2608,69000,1679,261
C,2608,69125,56,1
C,2608,69250,45,3
C,2608,69375,41,1
C,2608,69500,143,1
C,2608,69625,0,-1
C,2608,69750,552,10
C,2608,69875,1,1
C,2608,70000,2250,46
C,2608,70125,1,0
C,2608,70250,28,-1
C,2608,70375,34,-1
C,2608,70500,128,38
C,2608,70625,1,0
C,2608,70750,46,4
C,2608,70875,5,0
C,2608,71000,822,-75
C,2608,71125,1,0
C,2608,71250,77,0
C,2608,71375,1,0
C,2608,71500,335,-6
C,2608,71625,0,-1
C,2608,71750,33,0
C,2608,71875,35,0
C,2608,72000,1006,-141
C,2608,72125,15,0
C,2608,72250,7,0
C,2608,72375,1,0
C,2608,72500,818,-8
C,2608,72750,5,3
C,2608,72875,2,0
C,2608,73000,2412,118
C,2608,73125,11,0
C,2608,73250,23,2
C,2608,73375,1,0
C,2608,73500,724,-16
C,2608,73625,1,-2
C,2608,73750,24,0
C,2608,74000,1009,18
C,2608,74125,34,0
C,2608,74250,8,0
C,2608,74375,20,0
C,2608,74500,195,11
C,2608,74625,24,0
C,2608,74750,5,1
C,2608,74875,21,4
C,2608,75000,1984,-211
C,2608,75125,16,0
C,2608,75250,3,0
C,2608,75375,20,0
C,2608,75500,366,-11
C,2608,76000,724,15
C,2608,76500,75,4
C,2608,77000,623,59
C,2608,77500,868,0
C,2608,78000,1882,-36
C,2608,78500,41,6
C,2608,79000,182,-12
C,2608,79500,41,-1
C,2608,80000,1564,-22
C,2608,80500,48,0
C,2608,81000,256,-66
C,2608,81500,12,-1
C,2608,82000,1215,-25
C,2608,82500,30,-1
C,2608,83000,541,-5
C,2608,83500,23,2
C,2608,84000,130,6
C,2608,84500,13,0
C,2608,85000,1057,-20
C,2608,85750,164,-1
C,2608,87500,174,16
C,2608,88000,232,3
C,2608,90000,671,43
C,2608,92000,71,2
C,2608,94000,96,0
C,2608,95000,187,0
C,2608,96000,31,0
C,2608,98000,37,0
C,2608,100000,119,0
C,2609,30000,3750,0
C,2609,37000,1,0
C,2609,42000,101,0
C,2609,42500,10,0
C,2609,43000,100,0
C,2609,43500,57,0
C,2609,45000,41,0
C,2609,48000,400,0
C,2609,48500,240,0
C,2609,49000,200,0
C,2609,50000,4650,0
C,2609,50500,50,0
C,2609,51000,141,0
C,2609,51250,210,0
C,2609,52000,350,0
C,2609,53000,1100,0
C,2609,53500,400,0
C,2609,53750,150,0
C,2609,54000,1056,0
C,2609,54250,50,0
C,2609,54500,200,0
C,2609,54750,90,0
C,2609,55000,661,0
C,2609,56000,1250,0
C,2609,56500,78,-1
C,2609,57000,850,0
C,2609,57500,384,0
C,2609,58000,1101,0
C,2609,59000,1096,0
C,2609,60000,786,0
C,2609,60500,700,0
C,2609,60750,120,0
C,2609,61000,220,0
C,2609,61250,21,0
C,2609,61500,1,0
C,2609,62000,1302,1
C,2609,62500,500,0
C,2609,63000,957,1
C,2609,63250,1,0
C,2609,63500,2,1
C,2609,64000,1212,0
C,2609,64250,100,0
C,2609,64375,2,0
C,2609,64500,3,0
C,2609,64750,0,0
C,2609,65000,4285,150
C,2609,65375,1,0
C,2609,65500,162,12
C,2609,66000,1766,0
C,2609,66250,28,0
C,2609,67000,3350,838
C,2609,67125,2,2
C,2609,67500,2150,0
C,2609,67750,180,0
C,2609,68000,1581,11
C,2609,68250,4,0
C,2609,68500,101,0
C,2609,68625,1,0
C,2609,68750,22,0
C,2609,69000,1047,-2
C,2609,69250,8,0
C,2609,69500,172,0
C,2609,69625,3,0
C,2609,69750,485,0
C,2609,69875,0,0
C,2609,70000,2235,101
C,2609,70125,1,0
C,2609,70250,9,0
C,2609,70500,25,0
C,2609,70750,2,0
C,2609,71000,1838,83
C,2609,71125,16,0
C,2609,71250,2,0
C,2609,71500,1204,0
C,2609,71625,2,0
C,2609,71750,0,0
C,2609,72000,1643,-95
C,2609,72500,918,-1
C,2609,72750,3,1
C,2609,73000,1415,14
C,2609,73250,1,0
C,2609,73375,0,0
C,2609,73500,406,-1
C,2609,73625,2,0
C,2609,73750,0,0
C,2609,74000,1349,-1
C,2609,74500,106,4
C,2609,75000,2484,4
C,2609,75250,24,2
C,2609,75500,106,2
C,2609,76000,371,102
C,2609,76500,26,0
C,2609,77000,694,-5
C,2609,77500,964,0
C,2609,78000,1456,3
C,2609,78500,6,-2
C,2609,79000,5,1
C,2609,79500,200,0
C,2609,80000,922,-13
C,2609,80500,3,0
C,2609,81000,181,1
C,2609,81500,2,0
C,2609,82000,33,9
C,2609,82500,1,0
C,2609,83000,812,4
C,2609,83500,1,0
C,2609,84000,756,3
C,2609,84500,4,0
C,2609,85000,869,4
C,2609,87500,131,123
C,2609,90000,222,139
C,2609,92000,32,15
C,2609,94000,1,0
C,2609,95000,4,0
C,2609,98000,6,0
C,2609,100000,30,0
C,2610,47500,34,0
C,2610,53000,34,0
C,2610,55000,4,0
C,2610,57000,2,0
C,2610,60500,100,0
C,2610,61000,200,0
C,2610,62000,28,0
C,2610,63000,4,0
C,2610,64000,31,0
C,2610,65000,1,0
C,2610,65250,1,0
C,2610,65500,60,60
C,2610,66000,200,100
C,2610,67500,1,0
C,2610,68000,80,0
C,2610,69000,200,100
C,2610,69500,1,0
C,2610,70000,560,0
C,2610,70750,1,0
C,2610,71500,2,0
C,2610,72000,182,0
C,2610,73000,3,0
C,2610,74000,1,1
C,2610,74500,127,0
C,2610,75000,2035,0
C,2610,76000,301,0
C,2610,77000,994,2
C,2610,77500,1,0
C,2610,78000,1,-1
C,2610,79000,4,0
C,2610,80000,456,0
C,2610,81000,402,2
C,2610,82000,2,0
C,2610,83000,3,-1
C,2610,83500,5,0
C,2610,84000,2,1
