product,participant,net,net_prev,change
TOPIX先物,みずほ証券,-8787,-8696,-91
TOPIX先物,インタラクティブ証券,-165,8,-173
TOPIX先物,ゴールドマン証券,-53241,-46956,-6285
TOPIX先物,サスケハナ・ホンコン,-503,-555,52
TOPIX先物,シティグループ証券,63708,54424,9284
TOPIX先物,ソシエテＧ証券,11656,8608,3048
TOPIX先物,ドイツ証券,3352,1547,1805
TOPIX先物,バークレイズ証券,4914,1681,3233
TOPIX先物,ビーオブエー証券,17280,14802,2478
TOPIX先物,フィリップ・キャ証券,37,38,-1
TOPIX先物,モルガンＭＵＦＧ証券,25925,25489,436
TOPIX先物,三田証券,7,0,7
TOPIX先物,三菱ＵＦＪ証券,-9427,-7599,-1828
TOPIX先物,三菱ＵＦＪｅスマート,37,48,-11
TOPIX先物,大和証券,-2659,-2733,74
TOPIX先物,山和証券,0,1,-1
TOPIX先物,岡三証券,-177,-144,-33
TOPIX先物,広田証券,1,0,1
TOPIX先物,日産証券,698,636,62
TOPIX先物,東海東京証券,0,-18,18
TOPIX先物,松井証券,32,26,6
TOPIX先物,立花証券,-1240,-1240,0
TOPIX先物,野村証券,-8039,-6986,-1053
TOPIX先物,ＡＢＮクリアリン証券,-1798,-1782,-16
TOPIX先物,ＢＮＰパリバ証券,-37971,-37129,-842
TOPIX先物,ＨＳＢＣ証券,-15765,-17437,1672
TOPIX先物,ＪＰモルガン証券,27116,39334,-12218
TOPIX先物,ＳＢＩ証券,-5034,-5933,899
TOPIX先物,ＳＭＢＣ日興証券,-3152,-2115,-1037
TOPIX先物,ＵＢＳ証券,-6757,-7272,515
日経225mini,インタラクティブ証券,-5,5,-10
日経225mini,ゴールドマン証券,29659,29600,59
日経225mini,シティグループ証券,-5,0,-5
日経225mini,ソシエテＧ証券,-2496,-1723,-773
日経225mini,ドイツ証券,-98,231,-329
日経225mini,バークレイズ証券,687,729,-42
日経225mini,ビーオブエー証券,-3295,-2870,-425
日経225mini,フィリップ・キャ証券,12,30,-18
日経225mini,マネックス証券,65,206,-141
日経225mini,モルガンＭＵＦＧ証券,-5,-4,-1
日経225mini,三菱ＵＦＪｅスマート,159,250,-91
日経225mini,共和証券,-2,0,-2
日経225mini,広田証券,-14,-9,-5
日経225mini,日産証券,43,65,-22
日経225mini,松井証券,263,303,-40
日経225mini,楽天証券,358,651,-293
日経225mini,立花証券,2,-8,10
日経225mini,豊証券,2,0,2
日経225mini,野村証券,-993,-993,0
日経225mini,ＡＢＮクリアリン証券,1676,1091,585
日経225mini,ＢＮＰパリバ証券,-45255,-45258,3
日経225mini,ＪＰモルガン証券,1999,-1499,3498
日経225mini,ＳＢＩ証券,492,953,-461
