type,expiry,strike,oi,change
C,2608,42750,27,0
C,2608,49000,27,0
C,2608,55000,1,0
C,2608,57000,4,0
C,2608,58000,851,0
C,2608,59000,2,0
C,2608,59500,20,0
C,2608,59750,50,0
C,2608,60000,237,0
C,2608,60500,128,0
C,2608,60750,15,0
C,2608,61000,427,0
C,2608,61250,9,0
C,2608,61500,202,0
C,2608,62000,138,-2
C,2608,62250,36,0
C,2608,62375,1,0
C,2608,62500,265,0
C,2608,62625,86,0
C,2608,62750,120,0
C,2608,62875,85,0
C,2608,63000,2977,0
C,2608,63125,85,0
C,2608,63250,9,0
C,2608,63375,5,0
C,2608,63500,60,-1
C,2608,63625,53,0
C,2608,63750,43,0
C,2608,63875,36,0
C,2608,64000,882,-5
C,2608,64125,30,0
C,2608,64250,48,0
C,2608,64375,20,0
C,2608,64500,346,-1
C,2608,64625,16,0
C,2608,64750,137,0
C,2608,64875,8,0
C,2608,65000,3383,-3
C,2608,65125,71,0
C,2608,65250,119,0
C,2608,65375,8,0
C,2608,65500,860,-1
C,2608,65625,32,0
C,2608,65750,480,-2
C,2608,65875,38,0
C,2608,66000,2231,-18
C,2608,66125,11,0
C,2608,66250,26,1
C,2608,66375,12,0
C,2608,66500,654,-198
C,2608,66625,7,0
C,2608,66750,16,1
C,2608,66875,133,2
C,2608,67000,2025,91
C,2608,67125,250,0
C,2608,67250,94,2
C,2608,67375,84,3
C,2608,67500,769,1
C,2608,67625,20,0
C,2608,67750,307,52
C,2608,67875,9,3
C,2608,68000,3233,-250
C,2608,68125,478,3
C,2608,68250,290,0
C,2608,68375,34,10
C,2608,68500,1571,68
C,2608,68625,59,25
C,2608,68750,24,-3
C,2608,68875,77,0
C,2608,69000,3055,429
C,2608,69125,48,0
C,2608,69250,81,6
C,2608,69375,49,0
C,2608,69500,823,13
C,2608,69625,26,4
C,2608,69750,568,9
C,2608,69875,16,0
C,2608,70000,5008,209
C,2608,70125,15,6
C,2608,70250,63,-2
C,2608,70375,38,-1
C,2608,70500,216,25
C,2608,70625,7,0
C,2608,70750,48,3
C,2608,70875,15,-2
C,2608,71000,2736,51
C,2608,71125,3,2
C,2608,71250,107,1
C,2608,71375,2,0
C,2608,71500,255,3
C,2608,71625,6,1
C,2608,71750,45,4
C,2608,71875,46,10
C,2608,72000,2328,20
C,2608,72125,21,0
C,2608,72250,15,4
C,2608,72375,1,0
C,2608,72500,457,14
C,2608,72625,4,4
C,2608,72750,7,2
C,2608,72875,13,11
C,2608,73000,2129,77
C,2608,73125,41,30
C,2608,73250,31,-1
C,2608,73375,6,5
C,2608,73500,824,165
C,2608,73625,21,17
C,2608,73750,39,5
C,2608,73875,12,0
C,2608,74000,1529,7
C,2608,74125,37,1
C,2608,74250,56,0
C,2608,74375,20,0
C,2608,74500,329,11
C,2608,74625,49,-2
C,2608,74750,8,-10
C,2608,74875,21,0
C,2608,75000,1867,116
C,2608,75125,47,0
C,2608,75250,183,0
C,2608,75375,19,-6
C,2608,75500,646,-12
C,2608,76000,761,-19
C,2608,76500,122,0
C,2608,77000,965,-4
C,2608,77500,871,0
C,2608,78000,1619,0
C,2608,78500,74,0
C,2608,79000,203,-1
C,2608,79500,27,0
C,2608,80000,1273,0
C,2608,80500,137,-1
C,2608,81000,187,0
C,2608,81500,30,0
C,2608,82000,1032,0
C,2608,82500,68,0
C,2608,83000,262,0
C,2608,83500,72,0
C,2608,84000,151,0
C,2608,84500,53,0
C,2608,85000,916,0
C,2608,85750,134,0
C,2608,87500,205,0
C,2608,88000,239,0
C,2608,90000,674,-8
C,2608,92000,110,0
C,2608,94000,96,0
C,2608,95000,283,0
C,2608,96000,31,0
C,2608,98000,37,0
C,2608,100000,118,0
C,2609,30000,3750,0
C,2609,37000,1,0
C,2609,40000,5,0
C,2609,42000,101,0
C,2609,42500,10,0
C,2609,43000,100,0
C,2609,43500,57,0
C,2609,45000,42,0
C,2609,48000,400,0
C,2609,48500,240,0
C,2609,49000,200,0
C,2609,50000,4650,0
C,2609,50500,50,0
C,2609,51000,141,0
C,2609,51250,210,0
C,2609,52000,350,0
C,2609,53000,1100,0
C,2609,53500,400,0
C,2609,53750,150,0
C,2609,54000,1056,0
C,2609,54250,50,0
C,2609,54500,200,0
C,2609,54750,90,0
C,2609,55000,660,0
C,2609,56000,1250,0
C,2609,56500,75,0
C,2609,57000,850,0
C,2609,57500,384,0
C,2609,58000,1101,0
C,2609,59000,1096,0
C,2609,60000,786,0
C,2609,60500,750,0
C,2609,60750,120,0
C,2609,61000,221,0
C,2609,61250,22,0
C,2609,61375,2,-10
C,2609,61500,2,0
C,2609,61875,2,0
C,2609,62000,2002,0
C,2609,62250,1,0
C,2609,62500,801,0
C,2609,63000,961,0
C,2609,63250,1,0
C,2609,63500,4,0
C,2609,64000,1684,0
C,2609,64250,100,0
C,2609,64500,102,-2
C,2609,64750,1,0
C,2609,65000,5234,0
C,2609,65250,2,0
C,2609,65375,1,0
C,2609,65500,160,0
C,2609,65750,2,0
C,2609,66000,1626,-91
C,2609,66125,40,0
C,2609,66250,47,10
C,2609,66375,0,-1
C,2609,66500,884,-125
C,2609,66750,8,0
C,2609,67000,3142,-2
C,2609,67125,1,0
C,2609,67250,3,1
C,2609,67500,2124,32
C,2609,67750,477,0
C,2609,67875,23,0
C,2609,68000,2137,34
C,2609,68250,4,0
C,2609,68375,9,0
C,2609,68500,213,0
C,2609,68625,1,0
C,2609,68750,16,0
C,2609,68875,67,0
C,2609,69000,1281,-6
C,2609,69250,107,0
C,2609,69500,624,0
C,2609,69750,482,0
C,2609,69875,0,0
C,2609,70000,2466,60
C,2609,70250,8,0
C,2609,70500,310,3
C,2609,70625,55,0
C,2609,70750,2,0
C,2609,70875,61,61
C,2609,71000,1648,15
C,2609,71125,16,0
C,2609,71250,14,0
C,2609,71500,1329,-1
C,2609,71625,2,0
C,2609,71750,3,0
C,2609,72000,2264,9
C,2609,72250,7,0
C,2609,72500,1679,-3
C,2609,72750,4,1
C,2609,73000,2112,9
C,2609,73250,1,0
C,2609,73500,415,8
C,2609,73625,2,0
C,2609,73750,50,0
C,2609,73875,18,0
C,2609,74000,1011,42
C,2609,74250,3,3
C,2609,74500,110,1
C,2609,74625,1,1
C,2609,74750,1,0
C,2609,75000,2795,20
C,2609,75250,27,1
C,2609,75500,137,13
C,2609,76000,430,0
C,2609,76500,21,6
C,2609,77000,631,8
C,2609,77500,964,-1
C,2609,78000,1953,-245
C,2609,78500,9,0
C,2609,79000,21,4
C,2609,79500,200,0
C,2609,80000,1064,59
C,2609,80500,4,1
C,2609,81000,199,7
C,2609,81500,9,2
C,2609,82000,56,19
C,2609,82500,6,4
C,2609,83000,851,3
C,2609,83500,1,0
C,2609,84000,801,-1
C,2609,84500,5,1
C,2609,85000,859,18
C,2609,87500,150,1
C,2609,90000,289,1
C,2609,92000,56,0
C,2609,94000,12,0
C,2609,95000,43,0
C,2609,96000,20,0
C,2609,98000,15,0
C,2609,100000,89,0
C,2610,35000,20,0
C,2610,47500,34,0
C,2610,53000,34,0
C,2610,55000,4,0
C,2610,57000,1,0
