product,participant,net,net_prev,change
TOPIX先物,みずほ証券,-8696,6465,-15161
TOPIX先物,インタラクティブ証券,8,-39,47
TOPIX先物,ゴールドマン証券,-46956,-30529,-16427
TOPIX先物,サスケハナ・ホンコン,-555,-238,-317
TOPIX先物,シティグループ証券,54424,30312,24112
TOPIX先物,ソシエテＧ証券,8608,11162,-2554
TOPIX先物,ドイツ証券,1547,679,868
TOPIX先物,バークレイズ証券,1681,971,710
TOPIX先物,ビーオブエー証券,14802,18676,-3874
TOPIX先物,フィリップ・キャ証券,38,28,10
TOPIX先物,モルガンＭＵＦＧ証券,25489,17301,8188
TOPIX先物,三菱ＵＦＪ証券,-7599,-1397,-6202
TOPIX先物,三菱ＵＦＪｅスマート,48,142,-94
TOPIX先物,大和証券,-2733,-4985,2252
TOPIX先物,安藤証券,0,4,-4
TOPIX先物,山和証券,1,0,1
TOPIX先物,岡三証券,-144,-38,-106
TOPIX先物,広田証券,0,16,-16
TOPIX先物,日産証券,636,923,-287
TOPIX先物,東海東京証券,-18,0,-18
TOPIX先物,松井証券,26,22,4
TOPIX先物,立花証券,-1240,-1240,0
TOPIX先物,豊証券,0,-14,14
TOPIX先物,野村証券,-6986,-11816,4830
TOPIX先物,ＡＢＮクリアリン証券,-1782,-749,-1033
TOPIX先物,ＢＮＰパリバ証券,-37129,-23432,-13697
TOPIX先物,ＨＳＢＣ証券,-17437,-11464,-5973
TOPIX先物,ＪＰモルガン証券,39334,16225,23109
TOPIX先物,ＳＢＩ証券,-5933,-5742,-191
TOPIX先物,ＳＭＢＣ日興証券,-2115,-4773,2658
TOPIX先物,ＵＢＳ証券,-7272,-6433,-839
日経225mini,みずほ証券,0,4148,-4148
日経225mini,むさし証券,0,-3,3
日経225mini,インタラクティブ証券,5,0,5
日経225mini,ゴールドマン証券,29600,-1222,30822
日経225mini,シティグループ証券,0,7890,-7890
日経225mini,ソシエテＧ証券,-1723,-29858,28135
日経225mini,ドイツ証券,231,0,231
日経225mini,バークレイズ証券,729,-70936,71665
日経225mini,ビーオブエー証券,-2870,24303,-27173
日経225mini,フィリップ・キャ証券,30,2040,-2010
日経225mini,マネックス証券,206,0,206
日経225mini,モルガンＭＵＦＧ証券,-4,12705,-12709
日経225mini,三晃証券,0,-5,5
日経225mini,三菱ＵＦＪ証券,0,2799,-2799
日経225mini,三菱ＵＦＪｅスマート,250,0,250
日経225mini,大和証券,0,2477,-2477
日経225mini,安藤証券,0,-205,205
日経225mini,山和証券,0,-33,33
日経225mini,岡三証券,0,-18,18
日経225mini,広田証券,-9,0,-9
日経225mini,日産証券,65,16232,-16167
日経225mini,松井証券,303,0,303
日経225mini,楽天証券,651,2058,-1407
日経225mini,立花証券,-8,0,-8
日経225mini,豊証券,0,-5,5
日経225mini,野村証券,-993,-11586,10593
日経225mini,ＡＢＮクリアリン証券,1091,21621,-20530
日経225mini,ＢＮＰパリバ証券,-45258,6295,-51553
日経225mini,ＨＳＢＣ証券,0,2882,-2882
日経225mini,Ｊトラストグローバル,0,-3,3
日経225mini,ＪＰモルガン証券,-1499,-14052,12553
日経225mini,ＳＢＩ証券,953,2135,-1182
日経225mini,ＳＭＢＣ日興証券,3000,7534,-4534
日経225mini,ＵＢＳ証券,15250,6793,8457
日経225先物,みずほ証券,-4946,-2165,-2781
日経225先物,インタラクティブ証券,0,-447,447
日経225先物,ゴールドマン証券,-14147,-16941,2794
日経225先物,サスケハナ・ホンコン,548,452,96
日経225先物,シティグループ証券,5413,5343,70
日経225先物,ソシエテＧ証券,3439,2543,896
日経225先物,ドイツ証券,1665,2231,-566
日経225先物,ナティクシス証券,-653,-856,203
日経225先物,バークレイズ証券,7367,12573,-5206
日経225先物,ビーオブエー証券,4508,-2435,6943
日経225先物,フィリップ・キャ証券,-628,0,-628
日経225先物,モルガンＭＵＦＧ証券,-10738,-12283,1545
日経225先物,三菱ＵＦＪ証券,-4693,-3396,-1297
日経225先物,三菱ＵＦＪｅスマート,112,172,-60
日経225先物,光世証券,-52,-44,-8
日経225先物,大和証券,1735,1379,356
日経225先物,安藤証券,-2,0,-2
日経225先物,岡三証券,-59,0,-59
日経225先物,岩井コスモ証券,0,93,-93
日経225先物,広田証券,-32,-42,10
日経225先物,日産証券,876,-123,999
日経225先物,松井証券,0,-47,47
日経225先物,楽天証券,387,272,115
日経225先物,立花証券,-126,-128,2
日経225先物,野村証券,31627,34665,-3038
日経225先物,ＡＢＮクリアリン証券,3130,223,2907
日経225先物,ＢＮＰパリバ証券,1065,-5363,6428
日経225先物,ＨＳＢＣ証券,-31579,-32873,1294
日経225先物,ＪＩＡ証券,0,102,-102
日経225先物,ＪＰモルガン証券,-4856,9312,-14168
日経225先物,ＳＢＩ証券,-1614,-343,-1271
日経225先物,ＳＭＢＣ日興証券,5148,5508,-360
日経225先物,ＵＢＳ証券,6743,2470,4273
日経225先物+mini(ラージ換算),みずほ証券,-4946,-1750,-3196
日経225先物+mini(ラージ換算),むさし証券,0,0,0
日経225先物+mini(ラージ換算),インタラクティブ証券,0,-447,448
日経225先物+mini(ラージ換算),ゴールドマン証券,-11187,-17063,5876
日経225先物+mini(ラージ換算),サスケハナ・ホンコン,548,452,96
日経225先物+mini(ラージ換算),シティグループ証券,5413,6132,-719
日経225先物+mini(ラージ換算),ソシエテＧ証券,3267,-443,3710
日経225先物+mini(ラージ換算),ドイツ証券,1688,2231,-543
日経225先物+mini(ラージ換算),ナティクシス証券,-653,-856,203
日経225先物+mini(ラージ換算),バークレイズ証券,7440,5479,1960
日経225先物+mini(ラージ換算),ビーオブエー証券,4221,-5,4226
日経225先物+mini(ラージ換算),フィリップ・キャ証券,-625,204,-829
日経225先物+mini(ラージ換算),マネックス証券,21,0,21
日経225先物+mini(ラージ換算),モルガンＭＵＦＧ証券,-10738,-11012,274
日経225先物+mini(ラージ換算),三晃証券,0,0,0
日経225先物+mini(ラージ換算),三菱ＵＦＪ証券,-4693,-3116,-1577
日経225先物+mini(ラージ換算),三菱ＵＦＪｅスマート,137,172,-35
日経225先物+mini(ラージ換算),光世証券,-52,-44,-8
日経225先物+mini(ラージ換算),大和証券,1735,1627,108
日経225先物+mini(ラージ換算),安藤証券,-2,-20,18
日経225先物+mini(ラージ換算),山和証券,0,-3,3
日経225先物+mini(ラージ換算),岡三証券,-59,-2,-57
日経225先物+mini(ラージ換算),岩井コスモ証券,0,93,-93
日経225先物+mini(ラージ換算),広田証券,-33,-42,9
日経225先物+mini(ラージ換算),日産証券,882,1500,-618
日経225先物+mini(ラージ換算),松井証券,30,-47,77
日経225先物+mini(ラージ換算),楽天証券,452,478,-26
日経225先物+mini(ラージ換算),立花証券,-127,-128,1
日経225先物+mini(ラージ換算),豊証券,0,0,0
日経225先物+mini(ラージ換算),野村証券,31528,33506,-1979
日経225先物+mini(ラージ換算),ＡＢＮクリアリン証券,3239,2385,854
