type,expiry,strike,oi,change
C,2609,30000,3750,0
C,2609,37000,1,0
C,2609,40000,5,0
C,2609,42000,101,0
C,2609,42500,10,0
C,2609,43000,100,0
C,2609,43500,57,0
C,2609,45000,42,0
C,2609,48000,400,0
C,2609,48500,240,0
C,2609,49000,200,0
C,2609,50000,4650,0
C,2609,50500,50,0
C,2609,51000,141,0
C,2609,51250,210,0
C,2609,52000,350,0
C,2609,53000,1100,0
C,2609,53500,400,0
C,2609,53750,150,0
C,2609,54000,1056,0
C,2609,54250,50,0
C,2609,54500,200,0
C,2609,54750,90,0
C,2609,55000,660,0
C,2609,56000,1250,0
C,2609,56500,75,0
C,2609,57000,850,0
C,2609,57500,384,0
C,2609,58000,1101,0
C,2609,59000,1096,0
C,2609,60000,786,0
C,2609,60500,750,0
C,2609,60750,120,0
C,2609,61000,221,0
C,2609,61250,22,0
C,2609,61500,2,0
C,2609,61875,2,0
C,2609,62000,2002,0
C,2609,62250,1,0
C,2609,62500,801,0
C,2609,63000,967,0
C,2609,63250,1,0
C,2609,63500,4,0
C,2609,64000,1685,0
C,2609,64250,100,0
C,2609,64500,103,0
C,2609,64750,1,0
C,2609,64875,1,0
C,2609,65000,5381,0
C,2609,65250,3,0
C,2609,65375,1,0
C,2609,65500,176,3
C,2609,65750,2,0
C,2609,65875,1,1
C,2609,66000,1786,0
C,2609,66125,40,0
C,2609,66250,89,51
C,2609,66375,1,0
C,2609,66500,1970,22
C,2609,66625,5,2
C,2609,66750,1411,201
C,2609,66875,2,1
C,2609,67000,2288,-324
C,2609,67125,6,2
C,2609,67250,8,3
C,2609,67375,31,2
C,2609,67500,1747,147
C,2609,67625,31,-5
C,2609,67750,489,9
C,2609,67875,36,0
C,2609,68000,3315,297
C,2609,68125,84,-1
C,2609,68250,28,8
C,2609,68375,25,0
C,2609,68500,187,2
C,2609,68625,26,0
C,2609,68750,312,-3
C,2609,68875,83,0
C,2609,69000,1794,42
C,2609,69125,104,0
C,2609,69250,111,0
C,2609,69375,29,9
C,2609,69500,804,64
C,2609,69625,73,0
C,2609,69750,1452,0
C,2609,69875,45,0
C,2609,70000,3917,108
C,2609,70125,3,1
C,2609,70250,640,7
C,2609,70375,2,0
C,2609,70500,364,25
C,2609,70625,67,12
C,2609,70750,35,0
C,2609,70875,61,0
C,2609,71000,1766,-14
C,2609,71125,58,0
C,2609,71250,78,13
C,2609,71375,11,0
C,2609,71500,566,11
C,2609,71625,3,1
C,2609,71750,20,0
C,2609,71875,3,2
C,2609,72000,2316,-81
C,2609,72125,79,1
C,2609,72250,41,-1
C,2609,72375,10,0
C,2609,72500,1800,3
C,2609,72625,4,0
C,2609,72750,202,0
C,2609,72875,34,0
C,2609,73000,1709,10
C,2609,73125,5,0
C,2609,73250,19,0
C,2609,73375,2,0
C,2609,73500,512,-4
C,2609,73625,5,0
C,2609,73750,54,0
C,2609,73875,18,0
C,2609,74000,1334,-26
C,2609,74125,3,0
C,2609,74250,6,2
C,2609,74375,1,0
C,2609,74500,162,9
C,2609,74625,48,0
C,2609,74750,68,-5
C,2609,75000,3318,-297
C,2609,75125,2,0
C,2609,75250,43,1
C,2609,75375,4,1
C,2609,75500,221,19
C,2609,76000,659,38
C,2609,76500,86,-2
C,2609,77000,816,-7
C,2609,77500,979,1
C,2609,78000,2488,27
C,2609,78500,88,16
C,2609,79000,288,0
C,2609,79500,213,5
C,2609,80000,1826,-14
C,2609,80500,20,-7
C,2609,81000,395,0
C,2609,81500,49,-9
C,2609,82000,362,-4
C,2609,82500,133,26
C,2609,83000,546,16
C,2609,83500,49,0
C,2609,84000,1219,0
C,2609,84500,52,0
C,2609,85000,903,0
C,2609,87500,345,0
C,2609,90000,666,0
C,2609,92000,57,1
C,2609,94000,17,0
C,2609,95000,43,0
C,2609,96000,20,0
C,2609,98000,15,0
C,2609,100000,89,0
C,2610,35000,24,0
C,2610,45000,2,0
C,2610,47500,34,0
C,2610,53000,34,0
C,2610,55000,4,0
C,2610,57000,1,0
C,2610,60000,1,0
C,2610,60500,100,0
C,2610,61000,201,0
C,2610,62000,49,0
C,2610,63000,4,0
C,2610,63875,50,0
C,2610,64000,31,0
C,2610,64750,0,0
C,2610,65000,145,0
C,2610,65250,1,0
C,2610,65500,181,0
C,2610,65750,51,0
C,2610,65875,1,0
C,2610,66000,456,2
C,2610,66250,4,0
C,2610,66375,1,0
C,2610,66500,6,5
C,2610,66750,0,0
C,2610,66875,12,0
C,2610,67000,506,0
C,2610,67125,0,0
C,2610,67250,0,0
C,2610,67500,144,11
C,2610,67625,0,0
C,2610,67750,1,0
C,2610,67875,0,0
C,2610,68000,597,0
C,2610,68125,19,1
C,2610,68250,2,0
C,2610,68375,2,-1
C,2610,68500,1115,911
C,2610,69000,2855,625
C,2610,69250,0,0
C,2610,69500,6,0
C,2610,69750,2,0
C,2610,69875,88,0
C,2610,70000,936,-37
C,2610,70250,12,10
C,2610,70375,115,115
C,2610,70500,101,1
C,2610,70750,2,0
C,2610,71000,133,3
C,2610,71250,0,0
C,2610,71500,256,0
C,2610,71750,0,0
C,2610,72000,1668,858
C,2610,72250,86,0
C,2610,72500,154,32
C,2610,72750,10,0
C,2610,73000,1416,17
C,2610,73250,1,0
