product,participant,net,net_prev,change
TOPIX先物,みずほ証券,828,989,-161
TOPIX先物,インタラクティブ証券,-149,-175,26
TOPIX先物,ゴールドマン証券,-28663,-27279,-1384
TOPIX先物,サスケハナ・ホンコン,-67,0,-67
TOPIX先物,シティグループ証券,26147,24789,1358
TOPIX先物,ソシエテＧ証券,9558,9701,-143
TOPIX先物,ドイツ証券,727,-574,1301
TOPIX先物,バークレイズ証券,-3159,-2901,-258
TOPIX先物,ビーオブエー証券,19556,21450,-1894
TOPIX先物,フィリップ・キャ証券,30,0,30
TOPIX先物,フィリップ証券,0,37,-37
TOPIX先物,モルガンＭＵＦＧ証券,18847,16621,2226
TOPIX先物,三菱ＵＦＪ証券,-6060,-5088,-972
TOPIX先物,三菱ＵＦＪｅスマート,137,175,-38
TOPIX先物,大和証券,-3332,-2599,-733
TOPIX先物,岡三証券,-160,-161,1
TOPIX先物,日産証券,732,723,9
TOPIX先物,松井証券,106,140,-34
TOPIX先物,立花証券,-1240,-1240,0
TOPIX先物,野村証券,-11939,-14748,2809
TOPIX先物,ＡＢＮクリアリン証券,-1481,-848,-633
TOPIX先物,ＢＮＰパリバ証券,-22535,-21770,-765
TOPIX先物,ＨＳＢＣ証券,-17408,-17260,-148
TOPIX先物,ＪＰモルガン証券,31975,33278,-1303
TOPIX先物,ＳＢＩ証券,-6595,-6365,-230
TOPIX先物,ＳＭＢＣ日興証券,-4845,-3847,-998
TOPIX先物,ＵＢＳ証券,-966,-2914,1948
日経225mini,みずほ証券,4443,6003,-1560
日経225mini,むさし証券,-3,-3,0
日経225mini,インタラクティブ証券,2253,2026,227
日経225mini,ゴールドマン証券,-2022,-6640,4618
日経225mini,サスケハナ・ホンコン,2446,2946,-500
日経225mini,シティグループ証券,4842,12966,-8124
日経225mini,ソシエテＧ証券,-32238,-35721,3483
日経225mini,バークレイズ証券,-70696,-63898,-6798
日経225mini,ビーオブエー証券,25564,24911,653
日経225mini,モルガンＭＵＦＧ証券,10961,11859,-898
日経225mini,三晃証券,-4,0,-4
日経225mini,三田証券,-4,-2,-2
日経225mini,三菱ＵＦＪ証券,3462,3718,-256
日経225mini,共和証券,-6,0,-6
日経225mini,内藤証券,-1,-1,0
日経225mini,大和証券,0,-359,359
日経225mini,安藤証券,-113,-19,-94
日経225mini,山和証券,-13,-39,26
日経225mini,岡三証券,-29,-29,0
日経225mini,日産証券,17794,15467,2327
日経225mini,東海東京証券,-816,-954,138
日経225mini,楽天証券,2287,2210,77
日経225mini,豊トラスティ,-2,-2,0
日経225mini,豊証券,0,-13,13
日経225mini,野村証券,-14258,-19504,5246
日経225mini,ＡＢＮクリアリン証券,19150,11832,7318
日経225mini,ＢＮＰパリバ証券,6956,9838,-2882
日経225mini,ＨＳＢＣ証券,2432,3738,-1306
日経225mini,ＪＰモルガン証券,-7024,-5989,-1035
日経225mini,ＳＢＩ証券,3187,3754,-567
日経225mini,ＳＭＢＣ日興証券,7463,7406,57
日経225mini,ＵＢＳ証券,7527,8272,-745
日経225先物,みずほ証券,-3876,-5327,1451
日経225先物,インタラクティブ証券,-429,-774,345
日経225先物,ゴールドマン証券,-14283,-15369,1086
日経225先物,サスケハナ・ホンコン,-175,-45,-130
日経225先物,シティグループ証券,4962,5261,-299
日経225先物,ソシエテＧ証券,3928,4689,-761
日経225先物,ドイツ証券,2010,1507,503
日経225先物,ナティクシス証券,-856,-856,0
日経225先物,バークレイズ証券,12733,13083,-350
日経225先物,ビーオブエー証券,-1598,-1256,-342
日経225先物,フィリップ・キャ証券,-45,0,-45
日経225先物,フィリップ証券,0,-133,133
日経225先物,マネックス証券,53,63,-10
日経225先物,モルガンＭＵＦＧ証券,-13899,-15361,1462
日経225先物,三菱ＵＦＪ証券,-6197,-7243,1046
日経225先物,三菱ＵＦＪｅスマート,163,151,12
日経225先物,光世証券,-50,-53,3
日経225先物,大和証券,1372,1555,-183
日経225先物,岩井コスモ証券,58,0,58
日経225先物,広田証券,-10,0,-10
日経225先物,日産証券,0,130,-130
日経225先物,松井証券,0,30,-30
日経225先物,楽天証券,175,-170,345
日経225先物,立花証券,-128,-118,-10
日経225先物,野村証券,34570,34835,-265
日経225先物,ＡＢＮクリアリン証券,3184,5276,-2092
日経225先物,ＢＮＰパリバ証券,-5103,-3622,-1481
日経225先物,ＨＳＢＣ証券,-33337,-32970,-367
日経225先物,ＪＩＡ証券,53,74,-21
日経225先物,ＪＰモルガン証券,9438,7969,1469
日経225先物,ＳＢＩ証券,-1338,-720,-618
日経225先物,ＳＭＢＣ日興証券,5279,5157,122
日経225先物,ＵＢＳ証券,3216,4218,-1002
日経225先物+mini(ラージ換算),みずほ証券,-3432,-4727,1295
日経225先物+mini(ラージ換算),むさし証券,0,0,0
日経225先物+mini(ラージ換算),インタラクティブ証券,-204,-571,368
日経225先物+mini(ラージ換算),ゴールドマン証券,-14485,-16033,1548
日経225先物+mini(ラージ換算),サスケハナ・ホンコン,70,250,-180
日経225先物+mini(ラージ換算),シティグループ証券,5446,6558,-1111
日経225先物+mini(ラージ換算),ソシエテＧ証券,704,1117,-413
日経225先物+mini(ラージ換算),ドイツ証券,2010,1507,503
日経225先物+mini(ラージ換算),ナティクシス証券,-856,-856,0
日経225先物+mini(ラージ換算),バークレイズ証券,5663,6693,-1030
日経225先物+mini(ラージ換算),ビーオブエー証券,958,1235,-277
日経225先物+mini(ラージ換算),フィリップ・キャ証券,-45,0,-45
日経225先物+mini(ラージ換算),フィリップ証券,0,-133,133
日経225先物+mini(ラージ換算),マネックス証券,53,63,-10
日経225先物+mini(ラージ換算),モルガンＭＵＦＧ証券,-12803,-14175,1372
日経225先物+mini(ラージ換算),三晃証券,0,0,0
日経225先物+mini(ラージ換算),三田証券,0,0,0
日経225先物+mini(ラージ換算),三菱ＵＦＪ証券,-5851,-6871,1020
日経225先物+mini(ラージ換算),三菱ＵＦＪｅスマート,163,151,12
日経225先物+mini(ラージ換算),光世証券,-50,-53,3
日経225先物+mini(ラージ換算),共和証券,-1,0,-1
日経225先物+mini(ラージ換算),内藤証券,0,0,0
日経225先物+mini(ラージ換算),大和証券,1372,1519,-147
日経225先物+mini(ラージ換算),安藤証券,-11,-2,-9
日経225先物+mini(ラージ換算),山和証券,-1,-4,3
日経225先物+mini(ラージ換算),岡三証券,-3,-3,0
日経225先物+mini(ラージ換算),岩井コスモ証券,58,0,58
日経225先物+mini(ラージ換算),広田証券,-10,0,-10
日経225先物+mini(ラージ換算),日産証券,1779,1677,103
日経225先物+mini(ラージ換算),東海東京証券,-82,-95,14
日経225先物+mini(ラージ換算),松井証券,0,30,-30
日経225先物+mini(ラージ換算),楽天証券,404,51,353
日経225先物+mini(ラージ換算),立花証券,-128,-118,-10
日経225先物+mini(ラージ換算),豊トラスティ,0,0,0
日経225先物+mini(ラージ換算),豊証券,0,-1,1
日経225先物+mini(ラージ換算),野村証券,33144,32885,260
日経225先物+mini(ラージ換算),ＡＢＮクリアリン証券,5099,6459,-1360
日経225先物+mini(ラージ換算),ＢＮＰパリバ証券,-4407,-2638,-1769
日経225先物+mini(ラージ換算),ＨＳＢＣ証券,-33094,-32596,-498
日経225先物+mini(ラージ換算),ＪＩＡ証券,53,74,-21
日経225先物+mini(ラージ換算),ＪＰモルガン証券,8736,7370,1366
日経225先物+mini(ラージ換算),ＳＢＩ証券,-1019,-345,-675
日経225先物+mini(ラージ換算),ＳＭＢＣ日興証券,6025,5898,128
日経225先物+mini(ラージ換算),ＵＢＳ証券,3969,5045,-1076
