type,expiry,strike,oi,change
C,2608,42750,27,0
C,2608,49000,27,0
C,2608,55000,1,0
C,2608,57000,4,0
C,2608,58000,851,0
C,2608,59000,2,0
C,2608,59500,20,0
C,2608,59750,50,0
C,2608,60000,237,0
C,2608,60500,129,0
C,2608,60750,15,0
C,2608,61000,428,0
C,2608,61250,9,0
C,2608,61500,202,0
C,2608,62000,137,1
C,2608,62250,36,0
C,2608,62375,1,0
C,2608,62500,265,1
C,2608,62625,86,0
C,2608,62750,120,0
C,2608,62875,85,0
C,2608,63000,3062,4
C,2608,63125,85,0
C,2608,63250,9,0
C,2608,63375,5,0
C,2608,63500,71,4
C,2608,63625,53,16
C,2608,63750,43,0
C,2608,63875,36,0
C,2608,64000,916,18
C,2608,64125,30,0
C,2608,64250,48,26
C,2608,64375,20,0
C,2608,64500,355,12
C,2608,64625,16,0
C,2608,64750,137,-7
C,2608,64875,8,2
C,2608,65000,3423,-2
C,2608,65125,71,0
C,2608,65250,122,0
C,2608,65375,8,1
C,2608,65500,834,53
C,2608,65625,43,0
C,2608,65750,459,1
C,2608,65875,5,0
C,2608,66000,1546,81
C,2608,66125,10,-2
C,2608,66250,25,20
C,2608,66375,12,0
C,2608,66500,847,-7
C,2608,66625,6,0
C,2608,66750,143,128
C,2608,66875,121,0
C,2608,67000,1744,130
C,2608,67125,255,0
C,2608,67250,91,5
C,2608,67375,79,0
C,2608,67500,488,1
C,2608,67625,18,0
C,2608,67750,263,0
C,2608,67875,3,0
C,2608,68000,3594,207
C,2608,68125,474,0
C,2608,68250,287,1
C,2608,68375,23,0
C,2608,68500,1387,104
C,2608,68625,34,0
C,2608,68750,17,0
C,2608,68875,76,0
C,2608,69000,2395,324
C,2608,69125,49,-20
C,2608,69250,66,0
C,2608,69375,49,0
C,2608,69500,737,5
C,2608,69625,22,0
C,2608,69750,558,-1
C,2608,69875,16,0
C,2608,70000,4593,37
C,2608,70125,10,0
C,2608,70250,45,-1
C,2608,70375,39,0
C,2608,70500,139,1
C,2608,70625,6,0
C,2608,70750,45,-1
C,2608,70875,17,0
C,2608,71000,2299,-1
C,2608,71125,3,0
C,2608,71250,103,0
C,2608,71375,1,0
C,2608,71500,239,-2
C,2608,71625,2,0
C,2608,71750,40,5
C,2608,71875,35,-1
C,2608,72000,1998,293
C,2608,72125,21,6
C,2608,72250,8,-1
C,2608,72375,1,0
C,2608,72500,424,-4
C,2608,72625,1,0
C,2608,72750,4,-1
C,2608,72875,2,0
C,2608,73000,1801,-204
C,2608,73125,11,0
C,2608,73250,35,1
C,2608,73375,1,0
C,2608,73500,739,-2
C,2608,73625,1,0
C,2608,73750,32,-1
C,2608,73875,12,12
C,2608,74000,1034,29
C,2608,74125,36,0
C,2608,74250,57,0
C,2608,74375,20,-1
C,2608,74500,163,95
C,2608,74625,51,20
C,2608,74750,14,5
C,2608,74875,17,-1
C,2608,75000,1830,-8
C,2608,75125,22,0
C,2608,75250,67,55
C,2608,75375,25,0
C,2608,75500,438,26
C,2608,76000,761,-20
C,2608,76500,160,10
C,2608,77000,721,40
C,2608,77500,867,-3
C,2608,78000,1647,-38
C,2608,78500,37,0
C,2608,79000,174,9
C,2608,79500,27,-4
C,2608,80000,1237,8
C,2608,80500,138,0
C,2608,81000,188,1
C,2608,81500,32,0
C,2608,82000,1039,-2
C,2608,82500,68,0
C,2608,83000,263,0
C,2608,83500,72,0
C,2608,84000,157,0
C,2608,84500,53,0
C,2608,85000,917,0
C,2608,85750,134,0
C,2608,87500,207,-2
C,2608,88000,240,0
C,2608,90000,682,0
C,2608,92000,110,0
C,2608,94000,96,0
C,2608,95000,283,0
C,2608,96000,31,0
C,2608,98000,37,0
C,2608,100000,120,0
C,2609,30000,3750,0
C,2609,37000,1,0
C,2609,40000,5,0
C,2609,42000,101,0
C,2609,42500,10,0
C,2609,43000,100,0
C,2609,43500,57,0
C,2609,45000,42,0
C,2609,48000,400,0
C,2609,48500,240,0
C,2609,49000,200,0
C,2609,50000,4650,0
C,2609,50500,50,0
C,2609,51000,141,0
C,2609,51250,210,0
C,2609,52000,350,0
C,2609,53000,1100,0
C,2609,53500,400,0
C,2609,53750,150,0
C,2609,54000,1056,0
C,2609,54250,50,0
C,2609,54500,200,0
C,2609,54750,90,0
C,2609,55000,660,0
C,2609,56000,1250,0
C,2609,56500,75,0
C,2609,57000,850,0
C,2609,57500,384,0
C,2609,58000,1101,-1
C,2609,59000,1096,0
C,2609,60000,786,0
C,2609,60500,750,0
C,2609,60750,120,0
C,2609,61000,221,0
C,2609,61250,22,0
C,2609,61375,12,0
C,2609,61500,2,0
C,2609,61875,2,0
C,2609,62000,2002,0
C,2609,62250,1,0
C,2609,62500,801,0
C,2609,63000,961,2
C,2609,63250,26,-1
C,2609,63500,6,0
C,2609,63750,0,0
C,2609,64000,1684,317
C,2609,64250,100,0
C,2609,64375,0,0
C,2609,64500,104,2
C,2609,64750,1,0
C,2609,64875,0,0
C,2609,65000,5183,157
C,2609,65125,0,-5
C,2609,65250,2,0
C,2609,65375,1,0
C,2609,65500,152,0
C,2609,65750,2,0
C,2609,65875,0,0
C,2609,66000,1658,-157
C,2609,66125,39,0
C,2609,66250,37,0
C,2609,66500,259,0
C,2609,66750,8,0
C,2609,67000,2655,-42
C,2609,67250,1,0
C,2609,67500,2392,10
C,2609,67750,177,4
C,2609,67875,23,0
C,2609,68000,1951,56
C,2609,68250,4,0
C,2609,68500,136,0
C,2609,68625,1,0
C,2609,68750,16,0
C,2609,69000,1282,295
C,2609,69250,47,0
C,2609,69500,620,0
C,2609,69750,468,5
C,2609,70000,2575,12
C,2609,70250,8,0
C,2609,70500,207,100
C,2609,70750,2,0
C,2609,71000,1631,-95
C,2609,71125,16,0
C,2609,71250,4,0
C,2609,71500,1304,0
C,2609,71625,2,0
C,2609,71750,1,0
C,2609,72000,2117,87
C,2609,72250,1,0
C,2609,72500,932,1
C,2609,72750,3,0
C,2609,73000,2089,-101
C,2609,73250,1,0
C,2609,73500,406,0
C,2609,73625,2,0
C,2609,73750,2,1
C,2609,73875,0,0
C,2609,74000,963,-34
C,2609,74500,106,0
C,2609,74750,1,0
C,2609,75000,2755,154
C,2609,75250,24,0
C,2609,75500,125,2
C,2609,76000,378,0
C,2609,76500,23,0
C,2609,77000,598,9
C,2609,77500,966,0
C,2609,78000,2182,7
C,2609,78500,6,0
C,2609,79000,9,1
C,2609,79500,200,0
C,2609,80000,824,9
C,2609,80500,3,0
C,2609,81000,189,0
C,2609,81500,2,0
C,2609,82000,26,-1
C,2609,82500,1,0
C,2609,83000,838,0
C,2609,83500,5,0
C,2609,84000,807,5
C,2609,84500,4,0
C,2609,85000,816,3
C,2609,87500,148,0
C,2609,90000,286,0
C,2609,92000,56,0
C,2609,94000,1,0
C,2609,95000,43,2
C,2609,96000,20,0
C,2609,98000,15,0
C,2609,100000,89,0
C,2610,35000,20,0
C,2610,47500,34,0
C,2610,53000,34,0
C,2610,55000,4,0
C,2610,57000,1,0
C,2610,58000,1,1
C,2610,60000,1,0
C,2610,60500,100,0
C,2610,61000,201,0
