type,expiry,strike,oi,change
C,2608,42750,27,0
C,2608,49000,27,0
C,2608,55000,1,0
C,2608,57000,4,0
C,2608,58000,851,0
C,2608,59000,2,0
C,2608,59500,20,0
C,2608,59750,50,0
C,2608,60000,237,0
C,2608,60500,130,-38
C,2608,60750,15,-31
C,2608,61000,428,-3
C,2608,61250,9,-37
C,2608,61500,202,0
C,2608,62000,137,-12
C,2608,62250,36,0
C,2608,62375,1,0
C,2608,62500,264,-8
C,2608,62625,86,0
C,2608,62750,120,0
C,2608,62875,85,0
C,2608,63000,3061,96
C,2608,63125,85,0
C,2608,63250,9,0
C,2608,63375,5,0
C,2608,63500,62,3
C,2608,63625,10,0
C,2608,63750,7,1
C,2608,63875,10,0
C,2608,64000,897,49
C,2608,64125,30,0
C,2608,64250,21,0
C,2608,64375,20,0
C,2608,64500,331,171
C,2608,64625,16,0
C,2608,64750,129,0
C,2608,64875,15,0
C,2608,65000,3404,135
C,2608,65125,80,0
C,2608,65250,123,-3
C,2608,65375,20,0
C,2608,65500,832,4
C,2608,65625,43,31
C,2608,65750,458,0
C,2608,65875,5,0
C,2608,66000,1490,71
C,2608,66125,12,9
C,2608,66250,5,1
C,2608,66375,2,0
C,2608,66500,780,5
C,2608,66625,4,0
C,2608,66750,15,1
C,2608,66875,121,0
C,2608,67000,1627,543
C,2608,67125,249,1
C,2608,67250,86,0
C,2608,67375,79,0
C,2608,67500,397,-79
C,2608,67625,18,0
C,2608,67750,265,28
C,2608,67875,2,0
C,2608,68000,3342,48
C,2608,68125,474,0
C,2608,68250,286,2
C,2608,68375,44,16
C,2608,68500,1264,-21
C,2608,68625,34,0
C,2608,68750,17,2
C,2608,68875,76,0
C,2608,69000,1905,312
C,2608,69125,69,0
C,2608,69250,66,0
C,2608,69375,49,0
C,2608,69500,671,-15
C,2608,69625,22,1
C,2608,69750,561,1
C,2608,69875,16,0
C,2608,70000,4543,53
C,2608,70125,8,0
C,2608,70250,46,1
C,2608,70375,39,0
C,2608,70500,130,24
C,2608,70625,6,0
C,2608,70750,46,-3
C,2608,70875,17,0
C,2608,71000,2249,6
C,2608,71125,3,0
C,2608,71250,103,0
C,2608,71375,1,0
C,2608,71500,244,-5
C,2608,71625,2,0
C,2608,71750,35,1
C,2608,71875,36,1
C,2608,72000,1658,39
C,2608,72125,15,0
C,2608,72250,9,1
C,2608,72375,1,0
C,2608,72500,422,20
C,2608,72625,1,1
C,2608,72750,5,3
C,2608,72875,2,0
C,2608,73000,2005,9
C,2608,73125,11,0
C,2608,73250,34,3
C,2608,73375,1,0
C,2608,73500,740,20
C,2608,73625,1,0
C,2608,73750,35,3
C,2608,73875,1,1
C,2608,74000,934,20
C,2608,74125,35,1
C,2608,74250,57,48
C,2608,74375,26,6
C,2608,74500,69,-118
C,2608,74625,28,0
C,2608,74750,7,0
C,2608,74875,18,0
C,2608,75000,1889,71
C,2608,75125,18,1
C,2608,75250,11,8
C,2608,75375,20,1
C,2608,75500,364,4
C,2608,76000,751,2
C,2608,76500,148,16
C,2608,77000,691,-33
C,2608,77500,869,-1
C,2608,78000,1689,-54
C,2608,78500,40,-13
C,2608,79000,171,-3
C,2608,79500,31,-2
C,2608,80000,1250,-72
C,2608,80500,133,21
C,2608,81000,196,-2
C,2608,81500,33,10
C,2608,82000,1043,16
C,2608,82500,68,15
C,2608,83000,264,-31
C,2608,83500,71,29
C,2608,84000,157,-9
C,2608,84500,53,0
C,2608,85000,917,-24
C,2608,85750,134,0
C,2608,87500,209,-12
C,2608,88000,240,-4
C,2608,90000,682,0
C,2608,92000,110,0
C,2608,94000,96,0
C,2608,95000,283,0
C,2608,96000,31,0
C,2608,98000,37,0
C,2608,100000,120,0
C,2609,30000,3750,0
C,2609,37000,1,0
C,2609,42000,101,0
C,2609,42500,10,0
C,2609,43000,100,0
C,2609,43500,57,0
C,2609,45000,42,0
C,2609,48000,400,0
C,2609,48500,240,0
C,2609,49000,200,0
C,2609,50000,4650,0
C,2609,50500,50,0
C,2609,51000,141,0
C,2609,51250,210,0
C,2609,52000,350,0
C,2609,53000,1100,0
C,2609,53500,400,0
C,2609,53750,150,0
C,2609,54000,1056,0
C,2609,54250,50,0
C,2609,54500,200,0
C,2609,54750,90,0
C,2609,55000,660,0
C,2609,56000,1250,0
C,2609,56500,75,0
C,2609,57000,850,0
C,2609,57500,384,0
C,2609,58000,1102,0
C,2609,59000,1096,0
C,2609,60000,786,0
C,2609,60500,750,0
C,2609,60750,120,0
C,2609,61000,221,-1
C,2609,61250,22,0
C,2609,61375,12,0
C,2609,61500,2,0
C,2609,61875,2,0
C,2609,62000,2002,-1
C,2609,62250,1,0
C,2609,62500,801,0
C,2609,63000,957,0
C,2609,63250,27,0
C,2609,63500,5,0
C,2609,64000,1267,0
C,2609,64250,100,0
C,2609,64500,102,0
C,2609,64625,1,0
C,2609,64750,1,0
C,2609,65000,5073,1
C,2609,65125,6,0
C,2609,65250,2,0
C,2609,65375,3,-6
C,2609,65500,152,0
C,2609,65750,2,0
C,2609,66000,1808,0
C,2609,66125,39,0
C,2609,66250,37,0
C,2609,66500,9,-1
C,2609,66750,8,0
C,2609,67000,2690,-26
C,2609,67250,1,0
C,2609,67500,2282,0
C,2609,67750,173,0
C,2609,68000,2093,78
C,2609,68250,4,0
C,2609,68500,133,24
C,2609,68625,1,0
C,2609,68750,16,0
C,2609,69000,943,-68
C,2609,69250,47,0
C,2609,69500,620,0
C,2609,69750,463,2
C,2609,70000,2461,-117
C,2609,70250,8,0
C,2609,70500,107,81
C,2609,70750,2,0
C,2609,71000,1726,-87
C,2609,71125,16,0
C,2609,71250,4,0
C,2609,71500,1304,0
C,2609,71625,2,0
C,2609,71750,1,0
C,2609,72000,1751,40
C,2609,72250,1,1
C,2609,72500,932,1
C,2609,72750,3,0
C,2609,73000,2178,79
C,2609,73250,1,0
C,2609,73500,407,3
C,2609,73625,2,0
C,2609,74000,1213,-12
C,2609,74500,106,3
C,2609,74750,1,0
C,2609,75000,2600,-58
C,2609,75250,23,-2
C,2609,75500,121,0
C,2609,76000,381,4
C,2609,76500,22,-2
C,2609,77000,587,-1
C,2609,77500,966,2
C,2609,78000,2176,17
C,2609,78500,6,0
C,2609,79000,7,1
C,2609,79500,200,0
C,2609,80000,807,6
C,2609,80500,3,0
C,2609,81000,189,5
C,2609,81500,2,0
C,2609,82000,27,3
C,2609,82500,1,0
C,2609,83000,835,12
C,2609,83500,1,0
C,2609,84000,798,1
C,2609,84500,4,0
C,2609,85000,814,10
C,2609,87500,146,11
C,2609,90000,285,17
C,2609,92000,56,0
C,2609,94000,1,0
C,2609,95000,30,19
C,2609,96000,20,0
C,2609,98000,15,-2
C,2609,100000,89,0
C,2610,35000,20,0
C,2610,47500,34,0
C,2610,53000,34,0
C,2610,55000,4,0
C,2610,57000,1,0
C,2610,60000,1,0
C,2610,60500,100,0
C,2610,61000,201,0
C,2610,62000,29,0
C,2610,63000,4,0
C,2610,63875,50,50
C,2610,64000,31,0
C,2610,65000,100,99
C,2610,65250,1,0
C,2610,65500,60,0
C,2610,66000,300,0
