type,expiry,strike,oi,change
C,2609,30000,3750,0
C,2609,37000,1,0
C,2609,40000,5,0
C,2609,42000,101,0
C,2609,42500,10,0
C,2609,43000,100,0
C,2609,43500,57,0
C,2609,45000,42,0
C,2609,48000,400,0
C,2609,48500,240,0
C,2609,49000,200,0
C,2609,50000,4650,0
C,2609,50500,50,0
C,2609,51000,141,0
C,2609,51250,210,0
C,2609,52000,350,0
C,2609,53000,1100,0
C,2609,53500,400,0
C,2609,53750,150,0
C,2609,54000,1056,0
C,2609,54250,50,0
C,2609,54500,200,0
C,2609,54750,90,0
C,2609,55000,660,0
C,2609,56000,1250,0
C,2609,56500,75,0
C,2609,57000,850,0
C,2609,57500,384,0
C,2609,58000,1101,0
C,2609,59000,1096,0
C,2609,60000,786,0
C,2609,60500,750,0
C,2609,60750,120,0
C,2609,61000,221,0
C,2609,61250,22,0
C,2609,61500,2,0
C,2609,61875,2,0
C,2609,62000,2002,0
C,2609,62250,1,0
C,2609,62500,801,0
C,2609,63000,967,0
C,2609,63250,1,0
C,2609,63500,4,0
C,2609,64000,1689,4
C,2609,64250,100,0
C,2609,64500,104,1
C,2609,64750,1,0
C,2609,64875,1,0
C,2609,65000,5387,6
C,2609,65125,2,2
C,2609,65250,3,0
C,2609,65375,1,0
C,2609,65500,182,6
C,2609,65625,5,5
C,2609,65750,9,7
C,2609,65875,1,0
C,2609,66000,1800,14
C,2609,66125,41,1
C,2609,66250,87,-2
C,2609,66375,1,0
C,2609,66500,2407,437
C,2609,66625,4,-1
C,2609,66750,1610,199
C,2609,66875,8,6
C,2609,67000,2556,268
C,2609,67125,5,-1
C,2609,67250,13,5
C,2609,67375,31,0
C,2609,67500,1397,-350
C,2609,67625,42,11
C,2609,67750,488,-1
C,2609,67875,36,0
C,2609,68000,3406,91
C,2609,68125,90,6
C,2609,68250,30,2
C,2609,68375,25,0
C,2609,68500,191,4
C,2609,68625,26,0
C,2609,68750,315,3
C,2609,68875,83,0
C,2609,69000,1920,126
C,2609,69125,126,22
C,2609,69250,113,2
C,2609,69375,29,0
C,2609,69500,762,-42
C,2609,69625,73,0
C,2609,69750,1468,16
C,2609,69875,47,2
C,2609,70000,3967,50
C,2609,70125,3,0
C,2609,70250,648,8
C,2609,70375,3,1
C,2609,70500,369,5
C,2609,70625,267,200
C,2609,70750,36,1
C,2609,70875,62,1
C,2609,71000,1884,118
C,2609,71125,58,0
C,2609,71250,78,0
C,2609,71375,11,0
C,2609,71500,554,-12
C,2609,71625,4,1
C,2609,71750,20,0
C,2609,71875,3,0
C,2609,72000,2451,135
C,2609,72125,79,0
C,2609,72250,40,-1
C,2609,72375,10,0
C,2609,72500,1853,53
C,2609,72625,4,0
C,2609,72750,202,0
C,2609,72875,34,0
C,2609,73000,1648,-61
C,2609,73125,5,0
C,2609,73250,14,-5
C,2609,73375,2,0
C,2609,73500,509,-3
C,2609,73625,5,0
C,2609,73750,53,-1
C,2609,73875,18,0
C,2609,74000,1366,32
C,2609,74125,6,3
C,2609,74250,5,-1
C,2609,74375,1,0
C,2609,74500,173,11
C,2609,74625,56,8
C,2609,74750,68,0
C,2609,75000,3310,-8
C,2609,75125,1,-1
C,2609,75250,44,1
C,2609,75375,6,2
C,2609,75500,249,28
C,2609,76000,679,20
C,2609,76500,102,16
C,2609,77000,895,79
C,2609,77500,978,-1
C,2609,78000,2470,-18
C,2609,78500,87,-1
C,2609,79000,281,-7
C,2609,79500,233,20
C,2609,80000,1827,1
C,2609,80500,18,-2
C,2609,81000,396,1
C,2609,81500,43,-6
C,2609,82000,341,-21
C,2609,82500,133,0
C,2609,83000,546,0
C,2609,83500,49,0
C,2609,84000,1219,0
C,2609,84500,52,0
C,2609,85000,903,0
C,2609,87500,345,0
C,2609,90000,666,0
C,2609,92000,57,0
C,2609,94000,17,0
C,2609,95000,43,0
C,2609,96000,20,0
C,2609,98000,15,0
C,2609,100000,89,0
C,2610,35000,24,0
C,2610,45000,2,0
C,2610,47500,34,0
C,2610,53000,34,0
C,2610,55000,4,0
C,2610,57000,1,0
C,2610,60000,1,0
C,2610,60500,100,0
C,2610,61000,201,0
C,2610,62000,49,0
C,2610,63000,4,0
C,2610,63875,50,0
C,2610,64000,31,0
C,2610,64625,0,0
C,2610,65000,145,0
C,2610,65250,1,0
C,2610,65500,181,0
C,2610,65750,54,3
C,2610,65875,1,0
C,2610,66000,462,6
C,2610,66250,4,0
C,2610,66375,1,0
C,2610,66500,6,0
C,2610,66750,119,119
C,2610,66875,12,0
C,2610,67000,505,-1
C,2610,67250,0,0
C,2610,67500,146,2
C,2610,67750,1,0
C,2610,68000,597,0
C,2610,68125,19,0
C,2610,68250,2,0
C,2610,68375,1,-1
C,2610,68500,1116,1
C,2610,68625,0,0
C,2610,68750,102,102
C,2610,68875,0,0
C,2610,69000,2857,2
C,2610,69250,1,1
C,2610,69375,0,0
C,2610,69500,6,0
C,2610,69750,2,0
C,2610,69875,88,0
C,2610,70000,1044,108
C,2610,70250,12,0
C,2610,70375,115,0
C,2610,70500,101,0
C,2610,70625,0,0
C,2610,70750,2,0
C,2610,71000,134,1
C,2610,71250,103,103
C,2610,71500,256,0
C,2610,72000,1780,112
C,2610,72250,86,0
C,2610,72500,175,21
