product,participant,net,net_prev,change
TOPIX先物,みずほ証券,2833,5676,-2843
TOPIX先物,インタラクティブ証券,76,-171,247
TOPIX先物,ゴールドマン証券,-26601,-3356,-23245
TOPIX先物,サスケハナ・ホンコン,-78,97,-175
TOPIX先物,シティグループ証券,21478,12995,8483
TOPIX先物,ソシエテＧ証券,11608,14068,-2460
TOPIX先物,ドイツ証券,2038,302,1736
TOPIX先物,バークレイズ証券,-797,-11742,10945
TOPIX先物,ビーオブエー証券,18976,16094,2882
TOPIX先物,フィリップ証券,29,45,-16
TOPIX先物,モルガンＭＵＦＧ証券,14868,18522,-3654
TOPIX先物,三菱ＵＦＪ証券,-6229,-6075,-154
TOPIX先物,三菱ＵＦＪｅスマート,153,134,19
TOPIX先物,大和証券,-3156,-3435,279
TOPIX先物,山和証券,0,5,-5
TOPIX先物,岡三証券,-172,-174,2
TOPIX先物,広田証券,34,0,34
TOPIX先物,日産証券,886,1305,-419
TOPIX先物,東海東京証券,-16,-36,20
TOPIX先物,松井証券,243,243,0
TOPIX先物,立花証券,-1240,-1240,0
TOPIX先物,豊証券,-14,0,-14
TOPIX先物,野村証券,-14633,-16150,1517
TOPIX先物,ＡＢＮクリアリン証券,-1811,-666,-1145
TOPIX先物,ＢＮＰパリバ証券,-19833,-20143,310
TOPIX先物,ＨＳＢＣ証券,-19005,-19550,545
TOPIX先物,ＪＰモルガン証券,29375,28717,658
TOPIX先物,ＳＢＩ証券,-8165,-8820,655
TOPIX先物,ＳＭＢＣ日興証券,2493,-2611,5104
TOPIX先物,ＵＢＳ証券,-3321,-3953,632
日経225mini,みずほ証券,4000,-1000,5000
日経225mini,インタラクティブ証券,0,23,-23
日経225mini,ゴールドマン証券,13500,4500,9000
日経225mini,シティグループ証券,6000,2000,4000
日経225mini,ソシエテＧ証券,1165,2210,-1045
日経225mini,ドイツ証券,-4,-15,11
日経225mini,バークレイズ証券,611,-900,1511
日経225mini,ビーオブエー証券,-15497,-5683,-9814
日経225mini,フィリップ証券,-9,-42,33
日経225mini,マネックス証券,29,35,-6
日経225mini,モルガンＭＵＦＧ証券,15653,15710,-57
日経225mini,三菱ＵＦＪ証券,-1500,-1500,0
日経225mini,三菱ＵＦＪｅスマート,119,77,42
日経225mini,光世証券,0,10,-10
日経225mini,共和証券,-3,0,-3
日経225mini,大和証券,20,0,20
日経225mini,広田証券,0,5,-5
日経225mini,日産証券,91,90,1
日経225mini,松井証券,338,179,159
日経225mini,楽天証券,74,181,-107
日経225mini,立花証券,-1,-1,0
日経225mini,豊証券,0,10,-10
日経225mini,野村証券,3500,0,3500
日経225mini,ＡＢＮクリアリン証券,-24420,-15362,-9058
日経225mini,ＢＮＰパリバ証券,-200,-1700,1500
日経225mini,ＪＰモルガン証券,-8022,-3296,-4726
日経225mini,ＳＢＩ証券,529,469,60
日経225mini,ＵＢＳ証券,4000,4000,0
日経225先物,みずほ証券,-8015,-10163,2148
日経225先物,インタラクティブ証券,-360,-422,62
日経225先物,ゴールドマン証券,-12088,-10726,-1362
日経225先物,サスケハナ・ホンコン,405,588,-183
日経225先物,シティグループ証券,5010,4120,890
日経225先物,ソシエテＧ証券,6205,9851,-3646
日経225先物,ドイツ証券,2919,2847,72
日経225先物,ナティクシス証券,-856,-856,0
日経225先物,バークレイズ証券,12548,12498,50
日経225先物,ビーオブエー証券,-2532,-2809,277
日経225先物,フィリップ証券,705,0,705
日経225先物,モルガンＭＵＦＧ証券,-11134,-13422,2288
日経225先物,三菱ＵＦＪ証券,-6782,-8109,1327
日経225先物,三菱ＵＦＪｅスマート,148,140,8
日経225先物,光世証券,-64,-46,-18
日経225先物,大和証券,1935,1994,-59
日経225先物,岡三証券,0,-66,66
日経225先物,広田証券,-25,0,-25
日経225先物,日産証券,622,2010,-1388
日経225先物,東海東京証券,-219,-254,35
日経225先物,松井証券,-5,0,-5
日経225先物,楽天証券,0,146,-146
日経225先物,立花証券,-128,-128,0
日経225先物,証券ジャパン,0,-1,1
日経225先物,野村証券,33492,33167,325
日経225先物,ＡＢＮクリアリン証券,2991,3721,-730
日経225先物,ＢＮＰパリバ証券,-1505,-439,-1066
日経225先物,ＨＳＢＣ証券,-33597,-33698,101
日経225先物,ＪＩＡ証券,110,112,-2
日経225先物,ＪＰモルガン証券,2333,1806,527
日経225先物,ＳＢＩ証券,-844,-662,-182
日経225先物,ＳＭＢＣ日興証券,4909,4647,262
日経225先物,ＵＢＳ証券,3637,3993,-356
日経225先物+mini(ラージ換算),みずほ証券,-7615,-10263,2648
日経225先物+mini(ラージ換算),インタラクティブ証券,-360,-420,60
日経225先物+mini(ラージ換算),ゴールドマン証券,-10738,-10276,-462
日経225先物+mini(ラージ換算),サスケハナ・ホンコン,405,588,-183
日経225先物+mini(ラージ換算),シティグループ証券,5610,4320,1290
日経225先物+mini(ラージ換算),ソシエテＧ証券,6322,10072,-3750
日経225先物+mini(ラージ換算),ドイツ証券,2919,2846,73
日経225先物+mini(ラージ換算),ナティクシス証券,-856,-856,0
日経225先物+mini(ラージ換算),バークレイズ証券,12609,12408,201
日経225先物+mini(ラージ換算),ビーオブエー証券,-4082,-3377,-704
日経225先物+mini(ラージ換算),フィリップ証券,704,-4,708
日経225先物+mini(ラージ換算),マネックス証券,3,4,-1
日経225先物+mini(ラージ換算),モルガンＭＵＦＧ証券,-9569,-11851,2282
日経225先物+mini(ラージ換算),三菱ＵＦＪ証券,-6932,-8259,1327
日経225先物+mini(ラージ換算),三菱ＵＦＪｅスマート,160,148,12
日経225先物+mini(ラージ換算),光世証券,-64,-45,-19
日経225先物+mini(ラージ換算),共和証券,0,0,0
日経225先物+mini(ラージ換算),大和証券,1937,1994,-57
日経225先物+mini(ラージ換算),岡三証券,0,-66,66
日経225先物+mini(ラージ換算),広田証券,-25,0,-26
日経225先物+mini(ラージ換算),日産証券,631,2019,-1388
日経225先物+mini(ラージ換算),東海東京証券,-219,-254,35
日経225先物+mini(ラージ換算),松井証券,29,18,11
日経225先物+mini(ラージ換算),楽天証券,7,164,-157
日経225先物+mini(ラージ換算),立花証券,-128,-128,0
日経225先物+mini(ラージ換算),証券ジャパン,0,-1,1
日経225先物+mini(ラージ換算),豊証券,0,1,-1
日経225先物+mini(ラージ換算),野村証券,33842,33167,675
