product,participant,net,net_prev,change
TOPIX先物,みずほ証券,5676,3537,2139
TOPIX先物,インタラクティブ証券,-171,0,-171
TOPIX先物,ゴールドマン証券,-3356,-601,-2755
TOPIX先物,サスケハナ・ホンコン,97,0,97
TOPIX先物,シティグループ証券,12995,12882,113
TOPIX先物,ソシエテＧ証券,14068,14451,-383
TOPIX先物,ドイツ証券,302,-146,448
TOPIX先物,バークレイズ証券,-11742,-15020,3278
TOPIX先物,ビーオブエー証券,16094,10762,5332
TOPIX先物,フィリップ証券,45,33,12
TOPIX先物,モルガンＭＵＦＧ証券,18522,19213,-691
TOPIX先物,三菱ＵＦＪ証券,-6075,-5403,-672
TOPIX先物,三菱ＵＦＪｅスマート,134,142,-8
TOPIX先物,大和証券,-3435,-2766,-669
TOPIX先物,山和証券,5,0,5
TOPIX先物,岡三証券,-174,-193,19
TOPIX先物,広田証券,0,-48,48
TOPIX先物,日産証券,1305,1107,198
TOPIX先物,東海東京証券,-36,-33,-3
TOPIX先物,松井証券,243,245,-2
TOPIX先物,立花証券,-1240,0,-1240
TOPIX先物,野村証券,-16150,-18324,2174
TOPIX先物,ＡＢＮクリアリン証券,-666,-1463,797
TOPIX先物,ＢＮＰパリバ証券,-20143,-22690,2547
TOPIX先物,ＨＳＢＣ証券,-19550,-19288,-262
TOPIX先物,ＪＰモルガン証券,28717,34717,-6000
TOPIX先物,ＳＢＩ証券,-8820,-8780,-40
TOPIX先物,ＳＭＢＣ日興証券,-2611,-1068,-1543
TOPIX先物,ＵＢＳ証券,-3953,-1180,-2773
日経225mini,みずほ証券,-1000,0,-1000
日経225mini,インタラクティブ証券,23,21,2
日経225mini,ゴールドマン証券,4500,4500,0
日経225mini,シティグループ証券,2000,0,2000
日経225mini,ソシエテＧ証券,2210,1268,942
日経225mini,ドイツ証券,-15,2,-17
日経225mini,バークレイズ証券,-900,-961,61
日経225mini,ビーオブエー証券,-5683,-922,-4761
日経225mini,フィリップ証券,-42,-20,-22
日経225mini,マネックス証券,35,78,-43
日経225mini,モルガンＭＵＦＧ証券,15710,14559,1151
日経225mini,三菱ＵＦＪ証券,-1500,4000,-5500
日経225mini,三菱ＵＦＪｅスマート,77,158,-81
日経225mini,光世証券,10,0,10
日経225mini,共和証券,0,-1,1
日経225mini,広田証券,5,5,0
日経225mini,日産証券,90,130,-40
日経225mini,松井証券,179,193,-14
日経225mini,楽天証券,181,252,-71
日経225mini,立花証券,-1,-1,0
日経225mini,豊証券,10,9,1
日経225mini,ＡＢＮクリアリン証券,-15362,-23294,7932
日経225mini,ＢＮＰパリバ証券,-1700,-1700,0
日経225mini,ＪＰモルガン証券,-3296,-2881,-415
日経225mini,ＳＢＩ証券,469,604,-135
日経225mini,ＵＢＳ証券,4000,4000,0
日経225先物,みずほ証券,-10163,-8160,-2003
日経225先物,インタラクティブ証券,-422,-991,569
日経225先物,ゴールドマン証券,-10726,-9168,-1558
日経225先物,サスケハナ・ホンコン,588,518,70
日経225先物,シティグループ証券,4120,2905,1215
日経225先物,ソシエテＧ証券,9851,7258,2593
日経225先物,ドイツ証券,2847,2210,637
日経225先物,ナティクシス証券,-856,-856,0
日経225先物,バークレイズ証券,12498,12311,187
日経225先物,ビーオブエー証券,-2809,-779,-2030
日経225先物,フィリップ証券,0,-384,384
日経225先物,モルガンＭＵＦＧ証券,-13422,-16155,2733
日経225先物,三菱ＵＦＪ証券,-8109,-9022,913
日経225先物,三菱ＵＦＪｅスマート,140,153,-13
日経225先物,光世証券,-46,-25,-21
日経225先物,大和証券,1994,1607,387
日経225先物,岡三証券,-66,0,-66
日経225先物,岩井コスモ証券,0,-46,46
日経225先物,日産証券,2010,2279,-269
日経225先物,東海東京証券,-254,-138,-116
日経225先物,楽天証券,146,345,-199
日経225先物,立花証券,-128,-108,-20
日経225先物,証券ジャパン,-1,0,-1
日経225先物,野村証券,33167,32295,872
日経225先物,ＡＢＮクリアリン証券,3721,6194,-2473
日経225先物,ＢＮＰパリバ証券,-439,0,-439
日経225先物,ＨＳＢＣ証券,-33698,-33913,215
日経225先物,ＪＩＡ証券,112,101,11
日経225先物,ＪＰモルガン証券,1806,3508,-1702
日経225先物,ＳＢＩ証券,-662,-404,-258
日経225先物,ＳＭＢＣ日興証券,4647,4785,-138
日経225先物,ＵＢＳ証券,3993,3498,495
日経225先物+mini(ラージ換算),みずほ証券,-10263,-8160,-2103
日経225先物+mini(ラージ換算),インタラクティブ証券,-420,-989,569
日経225先物+mini(ラージ換算),ゴールドマン証券,-10276,-8718,-1558
日経225先物+mini(ラージ換算),サスケハナ・ホンコン,588,518,70
日経225先物+mini(ラージ換算),シティグループ証券,4320,2905,1415
日経225先物+mini(ラージ換算),ソシエテＧ証券,10072,7385,2687
日経225先物+mini(ラージ換算),ドイツ証券,2846,2210,635
日経225先物+mini(ラージ換算),ナティクシス証券,-856,-856,0
日経225先物+mini(ラージ換算),バークレイズ証券,12408,12215,193
日経225先物+mini(ラージ換算),ビーオブエー証券,-3377,-871,-2506
日経225先物+mini(ラージ換算),フィリップ証券,-4,-386,382
日経225先物+mini(ラージ換算),マネックス証券,4,8,-4
日経225先物+mini(ラージ換算),モルガンＭＵＦＧ証券,-11851,-14699,2848
日経225先物+mini(ラージ換算),三菱ＵＦＪ証券,-8259,-8622,363
日経225先物+mini(ラージ換算),三菱ＵＦＪｅスマート,148,169,-21
日経225先物+mini(ラージ換算),光世証券,-45,-25,-20
日経225先物+mini(ラージ換算),共和証券,0,0,0
日経225先物+mini(ラージ換算),大和証券,1994,1607,387
日経225先物+mini(ラージ換算),岡三証券,-66,0,-66
日経225先物+mini(ラージ換算),岩井コスモ証券,0,-46,46
日経225先物+mini(ラージ換算),広田証券,0,0,0
日経225先物+mini(ラージ換算),日産証券,2019,2292,-273
日経225先物+mini(ラージ換算),東海東京証券,-254,-138,-116
日経225先物+mini(ラージ換算),松井証券,18,19,-1
日経225先物+mini(ラージ換算),楽天証券,164,370,-206
日経225先物+mini(ラージ換算),立花証券,-128,-108,-20
日経225先物+mini(ラージ換算),証券ジャパン,-1,0,-1
日経225先物+mini(ラージ換算),豊証券,1,1,0
日経225先物+mini(ラージ換算),野村証券,33167,32295,872
日経225先物+mini(ラージ換算),ＡＢＮクリアリン証券,2185,3865,-1680
日経225先物+mini(ラージ換算),ＢＮＰパリバ証券,-609,-170,-439
日経225先物+mini(ラージ換算),ＨＳＢＣ証券,-33698,-33913,215
日経225先物+mini(ラージ換算),ＪＩＡ証券,112,101,11
日経225先物+mini(ラージ換算),ＪＰモルガン証券,1476,3220,-1744
日経225先物+mini(ラージ換算),ＳＢＩ証券,-615,-344,-272
日経225先物+mini(ラージ換算),ＳＭＢＣ日興証券,4647,4785,-138
日経225先物+mini(ラージ換算),ＵＢＳ証券,4393,3898,495
