type,expiry,strike,oi,change
C,2608,42750,27,0
C,2608,49000,27,0
C,2608,55000,1,0
C,2608,56000,1,0
C,2608,57000,4,0
C,2608,58000,850,0
C,2608,59500,20,0
C,2608,59750,50,0
C,2608,60000,235,7
C,2608,60500,120,0
C,2608,61000,402,-1
C,2608,61500,201,1
C,2608,62000,116,11
C,2608,62250,35,35
C,2608,62500,148,132
C,2608,62625,85,85
C,2608,62750,120,120
C,2608,62875,85,85
C,2608,63000,2370,239
C,2608,63125,85,84
C,2608,63250,1,1
C,2608,63375,5,0
C,2608,63500,15,3
C,2608,63625,5,0
C,2608,63750,10,0
C,2608,63875,10,0
C,2608,64000,634,23
C,2608,64125,30,0
C,2608,64250,20,0
C,2608,64375,20,0
C,2608,64500,133,16
C,2608,64625,15,0
C,2608,64750,132,1
C,2608,64875,15,0
C,2608,65000,1908,712
C,2608,65125,78,0
C,2608,65250,120,0
C,2608,65375,20,0
C,2608,65500,682,428
C,2608,65625,10,0
C,2608,65750,455,0
C,2608,65875,5,5
C,2608,66000,857,179
C,2608,66125,2,0
C,2608,66250,4,1
C,2608,66375,3,0
C,2608,66500,284,8
C,2608,66625,0,0
C,2608,66750,12,9
C,2608,66875,121,0
C,2608,67000,1163,61
C,2608,67125,248,0
C,2608,67250,81,0
C,2608,67375,79,0
C,2608,67500,301,48
C,2608,67625,18,0
C,2608,67750,237,2
C,2608,67875,2,0
C,2608,68000,3540,1668
C,2608,68125,475,1
C,2608,68250,284,0
C,2608,68375,21,0
C,2608,68500,1246,232
C,2608,68625,34,0
C,2608,68750,101,1
C,2608,68875,76,0
C,2608,69000,1621,182
C,2608,69125,68,0
C,2608,69250,65,1
C,2608,69375,49,0
C,2608,69500,473,7
C,2608,69625,21,0
C,2608,69750,553,-1
C,2608,69875,16,0
C,2608,70000,2790,352
C,2608,70125,8,0
C,2608,70250,46,0
C,2608,70375,39,0
C,2608,70500,137,-28
C,2608,70625,6,0
C,2608,70750,50,2
C,2608,70875,17,0
C,2608,71000,2249,-1
C,2608,71125,3,0
C,2608,71250,107,0
C,2608,71375,1,0
C,2608,71500,241,-9
C,2608,71625,2,0
C,2608,71750,33,0
C,2608,71875,35,0
C,2608,72000,1631,-7
C,2608,72125,15,0
C,2608,72250,8,0
C,2608,72375,1,0
C,2608,72500,833,-42
C,2608,72750,5,0
C,2608,72875,2,0
C,2608,73000,1999,100
C,2608,73125,11,0
C,2608,73250,23,0
C,2608,73375,1,0
C,2608,73500,727,-1
C,2608,73625,1,0
C,2608,73750,27,0
C,2608,74000,937,-36
C,2608,74125,34,0
C,2608,74250,7,0
C,2608,74375,20,0
C,2608,74500,195,-5
C,2608,74625,28,4
C,2608,74750,12,3
C,2608,74875,16,0
C,2608,75000,1724,73
C,2608,75125,17,0
C,2608,75250,9,5
C,2608,75375,20,0
C,2608,75500,361,6
C,2608,76000,755,3
C,2608,76500,89,3
C,2608,77000,711,-10
C,2608,77500,865,-3
C,2608,78000,1932,40
C,2608,78500,34,-4
C,2608,79000,230,9
C,2608,79500,38,0
C,2608,80000,1331,5
C,2608,80500,58,5
C,2608,81000,249,-14
C,2608,81500,17,0
C,2608,82000,1189,-14
C,2608,82500,30,0
C,2608,83000,283,14
C,2608,83500,38,0
C,2608,84000,164,69
C,2608,84500,53,49
C,2608,85000,944,-3
C,2608,85750,140,-1
C,2608,87500,221,0
C,2608,88000,244,0
C,2608,90000,682,0
C,2608,92000,110,0
C,2608,94000,96,0
C,2608,95000,283,0
C,2608,96000,31,0
C,2608,98000,37,0
C,2608,100000,119,0
C,2609,30000,3750,0
C,2609,37000,1,0
C,2609,42000,101,0
C,2609,42500,10,0
C,2609,43000,100,0
C,2609,43500,57,0
C,2609,45000,42,0
C,2609,48000,400,0
C,2609,48500,240,0
C,2609,49000,200,0
C,2609,50000,4650,0
C,2609,50500,50,0
C,2609,51000,141,0
C,2609,51250,210,0
C,2609,52000,350,0
C,2609,53000,1100,0
C,2609,53500,400,0
C,2609,53750,150,0
C,2609,54000,1056,0
C,2609,54250,50,0
C,2609,54500,200,0
C,2609,54750,90,0
C,2609,55000,661,0
C,2609,56000,1250,0
C,2609,56500,75,0
C,2609,57000,850,0
C,2609,57500,384,0
C,2609,58000,1101,0
C,2609,59000,1096,0
C,2609,60000,786,0
C,2609,60500,700,0
C,2609,60750,120,0
C,2609,61000,220,0
C,2609,61250,22,0
C,2609,61500,1,0
C,2609,62000,1303,1
C,2609,62500,500,0
C,2609,63000,959,1
C,2609,63250,27,26
C,2609,63500,2,0
C,2609,64000,1215,3
C,2609,64250,100,0
C,2609,64500,102,0
C,2609,64750,0,-1
C,2609,65000,4256,10
C,2609,65125,6,0
C,2609,65375,9,0
C,2609,65500,160,-3
C,2609,65750,2,-1
C,2609,66000,1777,1
C,2609,66250,28,0
C,2609,66500,9,1
C,2609,67000,2587,126
C,2609,67125,2,0
C,2609,67250,1,0
C,2609,67500,2263,23
C,2609,67750,180,0
C,2609,68000,1694,109
C,2609,68250,4,0
C,2609,68500,107,6
C,2609,68625,1,0
C,2609,68750,22,0
C,2609,69000,1006,0
C,2609,69250,8,0
C,2609,69500,620,15
C,2609,69625,3,0
C,2609,69750,467,-18
C,2609,70000,2614,-115
C,2609,70250,8,0
C,2609,70500,25,0
C,2609,70750,2,0
C,2609,71000,1832,0
C,2609,71125,16,0
C,2609,71250,4,0
C,2609,71500,1304,0
C,2609,71625,2,0
C,2609,71750,1,1
C,2609,72000,1702,57
C,2609,72500,928,10
C,2609,72750,3,0
C,2609,73000,2092,99
C,2609,73250,1,0
C,2609,73500,405,-2
C,2609,73625,2,0
C,2609,73750,3,0
C,2609,74000,1189,-161
C,2609,74500,102,1
C,2609,74750,1,0
C,2609,75000,2643,9
C,2609,75250,25,0
C,2609,75500,120,5
C,2609,76000,373,1
C,2609,76500,24,0
C,2609,77000,576,26
C,2609,77500,964,0
C,2609,78000,2259,697
C,2609,78500,7,0
C,2609,79000,7,0
C,2609,79500,200,0
C,2609,80000,783,-100
C,2609,80500,3,0
C,2609,81000,184,1
C,2609,81500,2,0
C,2609,82000,32,-2
C,2609,82500,1,-10
C,2609,83000,820,4
C,2609,83500,2,1
C,2609,84000,785,22
C,2609,84500,4,0
C,2609,85000,800,-1
C,2609,87500,129,0
C,2609,90000,272,14
C,2609,92000,54,-1
C,2609,94000,1,0
C,2609,95000,11,0
C,2609,98000,17,0
C,2609,100000,79,0
C,2610,35000,20,20
C,2610,47500,34,0
C,2610,53000,34,0
C,2610,55000,4,0
C,2610,57000,2,0
C,2610,60500,100,0
C,2610,61000,200,0
C,2610,62000,29,1
C,2610,63000,4,0
C,2610,64000,31,0
C,2610,65000,1,-40
C,2610,65250,1,0
C,2610,65500,60,0
C,2610,66000,200,0
C,2610,66250,4,0
C,2610,67000,250,100
C,2610,67500,1,0
C,2610,68000,80,0
C,2610,69000,175,0
C,2610,69500,1,0
C,2610,70000,660,0
C,2610,70750,1,0
C,2610,71500,2,0
C,2610,72000,182,0
C,2610,73000,305,0
C,2610,74000,2,0
C,2610,74500,127,0
C,2610,75000,1965,28
